TIC ID,CTOI,Promoted to TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,Initial Community Disposition,TFOPWG Disposition,TESS mag,TESS mag error,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Notes,Date Modified,User,Group,Tag
2339182,2339182.01,,,,,,,,,PC,,11.6815,0.006,79.753653,31.959625,-0.771,0.074,-2.762,0.051,2458815.857,0.009,1.11,0.001,0.075,0.009,1.165,,1072,,6.701,1.281,589.752,13.926,6269,193.702,3.9456,0.0946146,1.9488,0.103206,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420913
2760219,2760219.01,2382.01,,,,,,,,PC,,11.4408,0.006,356.375185,-16.114124,12.369,0.12,-5.394,0.088,2458353.132,0.002,4.663,0.001,0.094,0.006,5.89,,5410,,13.14,1.36,434.92,15.7905,5949,125.492,4.10968,0.0859059,1.52373,0.0900829,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29398
3027456,3027456.01,,,,,,,,,PC,,9.438541,0.006,82.177755,30.121762,25.71,0.101,-49.879,0.075,2458812.389,0.006,4.491,0.002,0.141,0.016,0.554,,510,,3.443,1.67,198.467,2.1425,6390.61,151.5,4.14466,0.116795,1.5854,0.15151,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420895
3181884,3181884.01,,,,,,,,,PC,,16.83,1,246.241351,-50.894596,,,,,2459212.644,0.008,,,1.6,0.67,4.453,0.129,4093.06,118.96,11.78,0.17,,,,,,,,,Found with our in-house single transit finder,2021-02-15,steuer,,94396
3224605,3224605.01,5552.01,,,,,,,,PC,,11.9901,0.006,82.384951,33.246886,-9.484,0.09,-31.911,0.064,2459483.011,0.002,28.645,0.002,4.285,0.118,8.735,0.531,8012.984,489.048,8.648,0.532,287.606,4.359,5639.5,114.529,4.54594,0.075829,0.883211,0.0479799,PHT Community. Saturn sized - 3 transits,2022-01-04,mason,,104061
3892209,3892209.01,,,,,,,,,PC,,11.442,0.008,11.083123,-7.923376,8.46,0.112,-13.095,0.054,2459123.041,0.005,,,3.408,0.648,2.5,0.239,2300,220,5.931,0.277,314.156,4.757,5909,131.943,4.35924,0.0789099,1.13268,0.0572864,Found with our in-house single transit finder; transit finder output attached under 'Files',2020-11-26,steuer,,52129
3900859,3900859.01,,,,,,,,,PC,,11.7976,0.007,171.676266,22.862198,-40.33,0.07,-19.152,0.086,2458899.012,0.003,0.386,0,0.057,0.008,1.492,,1373,,3.812,0.836,303.745,4.461,5663.27,124.919,4.43511,0.0765657,1.00842,0.0536608,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420841
4292952,4292952.01,,,,,,,,,PC,,12.0673,0.009,81.359053,-3.663904,-0.698,0.102,-2.51,0.106,2458470.808,,2.542,,,,5.661,,5200,,,,397.946,10.867,6458.47,114.465,4.57439,0.0893953,0.978303,0.0508693,DTARPS 006 in Melton+  arXiv:2302.06724,2023-03-01,feigelson,,426909
4299199,4299199.01,,,,,,,,,PC,,9.66502,0.006,115.707401,30.337055,-27.098,0.069,-22.379,0.061,2458850.05,0.013,,,3.864,1.272,2.087,0.011,1920,10,5.165,0.014,137.135,0.7055,5970,123.728,4.41222,0.0776746,1.07852,0.0497035,Found with our in-house single transit finder; Sector 20,2021-01-27,steuer,,93717
4426490,4426490.01,,,,,,,,,PC,,12.1616,0.007,116.578612,30.776661,-6.295,0.059,-4.36,0.034,2458841.997,0.001,2.668,0,0.118,0.004,17.088,,15615,,15.915,1.337,468.406,8.323,5983.3,177.254,4.3234,0.101782,1.19683,0.0814975,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420902
4638099,4638099.01,,,,,,,,,PC,,11.5145,0.006,141.286794,-36.577016,0.942,0.031,-12.219,0.043,2458491.766,,2.208,,,,2.391,,2200,,,,263.487,1.8125,5771,132.758,4.47735,0.0787963,0.970013,0.0478945,DTARPS 007 in Melton+  arXiv:2302.06724,2023-03-01,feigelson,,426909
4672985,4672985.01,,,,,,,,,PC,,10.9918,0.007,38.470678,-10.657383,43.218,0.062,-27.741,0.057,2458429.857,0.002,,,,,8.94,0.63,8200,580,,,253.385,2.195,5735,122.188,4.30693,0.0752105,1.17454,0.0553769,WINE single transit,2020-12-21,brahm,,92648
4689632,4689632.01,,,,,,,,,PC,,17.0816,0.051,281.009573,-19.544855,-2.969,0.448,-2.591,0.404,2459207.149,0.006,,,2.4,0.555,5.399,0.149,4960,137.66,2.616,0.036,3764.45,2406.9,5281,171,4.00693,,1.56707,,Found with our in-house single transit finder,2021-02-15,steuer,,94400
4843495,4843495.01,5719.01,,,,,,,,PC,,9.67055,0.006,147.003946,30.17842,14.294,0.063,4.734,0.058,2458875.55,0.01,,,8,0.6,0.47,0.103,433,95,2.5,0.3,155.483,1.052,6347,134.741,4.45158,0.0918711,1.10473,0.0529649,PHT candidate. Two transits separated by ~757 d. Events are low S/N.,2022-03-31,eisner,,113462
4918918,4918918.01,5747.01,,,,,,,,PC,,10.7818,0.008,148.37832,35.570548,-87.855,0.078,-177.216,0.071,2459612.886,,3.89,,4.8,,6.125,,5625,,3.45,,28.5321,0.0512,3466,157,4.80761,0.00448927,0.420908,0.0124246,Values derived using lightkurve package.,2022-04-30,lekkas,,115196
4956529,4956529.01,,,,,,,,,PC,,11.6079,0.006,148.492294,30.331704,21.906,0.066,-7.313,0.063,2458869.019,0.01,2.184,0.001,0.101,0.024,2.586,,2379,,22.968,2.265,516.497,11.548,5088.28,31.6584,,,2.23924,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420896
5043138,5043138.01,,,,,,,,,PC,,11.6002,0.007,175.774232,35.007316,8,0.098,-13.158,0.09,2458898.97,0.007,1.09,0,0.084,0.01,2.64,,2429,,3.912,0.982,178.287,2.669,5078,128.191,4.58737,0.0888435,0.776351,0.0495829,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420945
