TIC ID,CTOI,Promoted to TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,Initial Community Disposition,TFOPWG Disposition,TESS mag,TESS mag error,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Notes,Date Modified,User,Group,Tag
25227021,25227021.01,,,,,,,,,PC,,11.3306,0.008,326.953733,-19.954167,-23.223,0.084,-25.638,0.088,2459080.521,,,,10.992,,9.838,,9020,,13.979,,369.694,6.653,6052,120.476,4.2326,0.0752815,1.3467,0.061897,Found with our in-house single transit finder; transit finder output attached under 'Files',2020-10-05,steuer,,36221
25314899,25314899.01,,,,,,,,,PC,,10.8452,0.006,351.617354,50.012001,-113.577,2.827,-57.256,1.432,2458765.685,,3.367,0.003,1.632,0.146,1.092,0.048,1005.6,44.6,3.74,0.08,105.8117,,5143,,,,0.919824,,Host star is likely to be very young,2020-01-02,damboiu,,8510
25354620,25354620.01,,,,,,,,,PC,,11.8068,0.007,328.310826,-22.902821,11.414,0.077,-1.079,0.074,2458323.749,0.001,5.023,0,0.093,0.008,7.309,,6709,,14.61,7.58,403.393,8.002,5482,127.009,4.13163,0.082784,1.39429,0.0789346,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29415
25472026,25472026.01,,,,,,,,,PC,,11.6951,0.008,351.681768,50.052375,0.755,0.041,-11.713,0.041,2458761.955,0.002,4.243,0,0.142,0.005,6.892,,6328,,18.503,1.448,624.168,10.535,6223,127.484,3.94893,0.0877288,1.92379,0.0959274,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421146
25758307,25758307.01,,,,,,,,,PC,,10.9677,0.007,10.029033,26.102983,-2.557,0.064,-100.247,0.055,2458765.291,,0.903,0,1.363,0.055,0.458,0.041,422,38,1.38,0.07,57.3632,0.15435,3910,157,4.66802,0.0102921,0.580201,0.0171379,"USP Candidate, low s2n",2020-01-02,damboiu,,8512
25765538,25765538.01,,,,,,,,,PC,,11.5796,0.007,352.599723,48.71531,8.647,0.046,6.992,0.043,2458763.867,0.005,0.886,0,0.086,0.013,1.008,,928,,6.549,3.212,531.355,8.7815,6375,124.804,4.10246,0.0861922,1.65847,0.0733266,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421132
25879023,25879023.01,,,,,,,,,PC,,13.9819,0.006,248.849498,-50.987539,-1.162,2.902,-13.752,2.902,2458630.51,0.004,2.049,0.001,3.348,0.584,32.31,1.543,29320,1420,13.47,4.07,,,,,,,,,"Crowded. HJ or EB. Collinder 307 (CG18, 30Myr). pmDec off.",2020-04-13,bouma,tfopwg,18718
25923058,25923058.01,,,,,,,,,PC,,12.0151,0.01,353.258883,52.457781,6.723,0.05,-3.683,0.039,2458761.592,0.019,8.551,0.001,0.356,0.038,0.946,,871,,8.017,3.527,807.66,21.9145,5198,122,,,3.02179,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421172
26137588,26137588.01,,,,,,,,,PC,,7.90785,0.006,353.740125,51.824192,-30.681,0.053,-10.233,0.042,2458762.048,0.019,6.484,0.001,0.285,0.042,0.193,,178,,6.389,0.423,216.261,1.812,6328,136.954,3.43873,0.0871148,3.53282,0.155337,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421164
26264354,26264354.01,,,,,,,,,PC,,10.7846,0.007,153.401713,-11.907184,4.063,0.073,-11.466,0.078,2458543.686,0.001,0.29,0,0.038,0.004,1.71,,1574,,7.58,1.26,377.257,8.4385,6617,122.846,4.18567,0.0911101,1.57655,0.0748542,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29314
26412438,26412438.01,,,,,,,,,PC,,11.2437,0.007,291.354606,51.433509,3.367,0.057,2.222,0.045,2458684.503,0.008,1.034,0.001,3.874,0.253,4.82,0.402,4430,370,8.46,0.36,294.357,2.146,6114.27,102.572,4.41724,0.0728521,1.09841,0.0443015,"Qual:A,CM,2.4e+07yr. Rp=(0.69-0.81)Rj. b=0.00-0.16 (3-97HDI).",2022-02-19,bouma,tfopwg,108227
26474800,26474800.01,,,,,,,,,PC,,13.5547,0.007,291.554386,51.043089,-9.611,0.034,-24.45,0.036,2458684.549,,0.806,,3.158,,10.592,,9708.034,,,,1375.61,30.085,5016.02,50.9988,,,2.6213,,Kepler candidate planet KOI-8078.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),2020-07-14,wilson,,28551
26493474,26493474.01,,,,,,,,,PC,,10.1558,0.006,291.790426,48.796544,-11.606,0.039,-6.821,0.041,2458684.32,,1.56,,,,0.145,,133.25,,,,254.794,1.46,6151.1,138.492,4.13613,0.0873338,1.52999,0.0777662,Data are obtained using the LightKurve framework,2020-12-30,chiarello,,92818
26547036,26547036.01,2010.01,,,,,,,,PC,,9.26693,0.006,292.166942,53.487369,40.519,0.067,11.106,0.066,2458712.3,0.01,0,0,8.5,1,10.912,2.174,10000,2000,11,1,109.19,0.321,5842,129.228,4.39929,0.0793101,1.07352,0.0529397,PHT candidate. Single transit event.,2020-05-16,eisner,,19145
26726940,26726940.01,,,,,,,,,PC,,11.4802,0.007,355.275008,48.285557,17.371,0.041,-20.899,0.033,2458763.228,0.008,2.374,0.001,0.086,0.016,1.256,,1156,,12.555,1.18,488.544,7.4175,5053,122,,,2.43329,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421126
26748546,26748546.01,,,,,,,,,PC,,14.6806,0.007,292.756071,49.264518,-3.077,0.044,-7.543,0.055,2458688.033,,5.902,,4.907,,28.697,,26084.806,,,,1974.48,99.54,5742,125,3.9907,,1.69864,,Kepler candidate planet KOI-6085.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),2020-07-14,wilson,,28551
26813962,26813962.01,,,,,,,,,PC,,10.4008,0.007,293.225987,49.522726,-5.484,0.047,1.333,0.046,2458679.505,0.009,4.624,0.001,0.241,0.024,0.366,,337,,7.683,0.9,419.463,4.1465,4811.34,35.26,,,3.61057,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421141
26877693,26877693.01,,,,,,,,,PC,,10.7134,0.006,293.364546,50.901336,-5.453,0.043,-14.456,0.038,2458678.157,0.006,6.232,0.001,0.159,0.03,0.775,,714,,16.611,1.563,543.075,6.289,5021.65,18.6922,,,3.74509,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421154
26880046,26880046.01,,,,,,,,,PC,,11.3701,0.008,293.414654,52.804837,-2.272,0.048,0.231,0.042,2458683.437,0.003,0.553,0,0.075,0.008,0.779,,717,,4.512,0.78,445.167,5.024,6544,132.689,4.2627,0.0901528,1.42184,0.0627136,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421174
26947356,26947356.01,,,,,,,,,PC,,10.0034,0.006,355.83447,53.17376,64.536,0.049,123.406,0.048,2458765.23,,6.82,,,,4.003,,3680.3,,,,81.2666,0.205,5075,121.844,4.63814,0.082473,0.732272,0.0446232,Possible 2 planets as the curve shows 2 distinct depths of different size,2021-02-15,chiarello,,94404
26971461,26971461.01,,,,,,,,,PC,,14.2745,0.007,150.003246,23.231045,13.988,0.094,-9.472,0.093,2458869.406,0.002,1.177,0,0.045,0.003,18.84,,17203,,11.089,0.776,276.096,5.292,3554,157,4.61195,0.0132106,0.647123,0.0207783,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421513
27064468,27064468.01,5126.01,,,,,,,,PC,,9.56225,0.006,151.659783,18.634063,-54.591,0.101,-10.621,0.092,2459528.775,0.002,5.461,0.001,3.8,0.1,1.456,0.152,1340,140,4.9,0.3,160.414,1.598,6223,130.594,4.32747,0.081364,1.24471,0.0578895,PHT candidate. Transit at 2539.8 d coincides with time of high systematics.,2022-01-12,eisner,,107182
27133479,27133479.01,,,,,,,,,PC,,12.7783,0.007,200.360446,16.71068,8.237,0.041,-8.491,0.032,2459670.184,0.002,8.85,0.001,1.767,0.187,17.147,1.794,15669,1651.3,14.69,12.57,343.944,2.361,5020.88,111.104,4.46543,0.0823928,0.882796,0.0496935,Nguyen et al. (2022),2022-10-19,knguyen,,420699
27233531,27233531.01,,,,,,,,,PC,,11.9646,0.007,294.655784,49.95632,9.686,0.041,0.54,0.045,2458681.758,0.017,13.611,0.006,0.152,0.012,1.959,,1803,,5.716,1.122,390.436,3.4865,5115.69,108.789,4.03548,0.0812429,1.47416,0.0800577,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421145
27312599,27312599.01,,,,,,,,,PC,,11.248,0.007,294.823656,52.955608,-5.068,0.043,-6.328,0.038,2458678.373,0.014,14.709,0.004,0.272,0.031,0.984,,906,,6.694,2.623,477.489,4.8685,5064,122,,,2.54055,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421178
27318774,27318774.01,4471.01,,,,,,,,PC,,14.4394,0.008,294.996342,50.470046,4.282,0.047,-1.88,0.04,2458686.674,,3.245,,8.117,,26.608,,24209.178,,,,1140.95,26.315,5778,25,4.37783,,1.09304,,Kepler confirmed planet KOI-186.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),2020-07-14,wilson,,28551
27344837,27344837.01,,,,,,,,,PC,,11.4578,0.006,65.655208,45.9406,12.78,0.075,-64.287,0.053,2458814.513,0.01,2.136,0.001,0.141,0.013,1.889,,1738,,5.237,1.434,277.978,3.411,5436,527.849,4.28789,0.144123,1.15742,0.0792713,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421101
27354439,27354439.01,,,,,,,,,PC,,12.4969,0.007,214.492781,37.297784,22.203,0.03,-36.74,0.043,2458738.791,,0.486,0,0.552,0.029,1.334,0.061,1227.6,56.6,1.52,0.03,59.0302,0.10535,3462,157,4.82881,0.00313684,0.397665,0.0117764,"USP Candidate, low s2n",2020-01-02,damboiu,,8507
27414976,27414976.01,,,,,,,,,PC,,13.7846,0.007,215.094092,41.278673,-8.855,0.036,-3.927,0.041,2458741.338,,3.976,,2.339,,36.263,,32848.1,,15.228,,401.307,4.4715,4693,122,4.54081,,0.769415,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,2021-02-08,olmschenk,,93944
27515765,27515765.01,,,,,,,,,PC,,12.7125,0.006,66.09292,43.007904,-2.898,0.048,-4.775,0.027,2458816.82,,0.86,,,,0.015,,13.38,,,,464.537,5.9105,6011.37,105.046,4.34004,0.0973153,1.17998,0.0928793,All data are obtained using the LightKurve framework,2020-12-30,chiarello,,92819
27541714,27541714.01,,,,,,,,,PC,,12.0604,0.007,122.624046,14.191105,-57.088,0.071,-34.441,0.043,2459520.083,0.027,,,5.601,2.358,6.665,1.249,6120,1150,4.621,0.417,75.9959,0.25925,3606,157,4.70208,0.00925841,0.54058,0.0159397,Found with our in-house single transit finder; Sector 44,2022-01-10,vogl,,107104
27549827,27549827.01,,,,,,,,,PC,,11.7699,0.007,123.022658,16.902957,4.19,0.075,-10.572,0.04,2459501.853,0.005,,,6.334,0.287,18.992,0.891,17340,820,24.575,0.575,609.973,19.0155,6286,121.938,4.0632,0.0864248,1.7076,0.0939851,Found with our in-house single transit finder; Sector 44,2022-01-10,vogl,,107105
27550937,27550937.01,,,,,,,,,PC,,13.88,0,123.140253,16.023193,-16.723,0.135,-21.714,0.08,2459563.268,0.01,,,3.8,1.74,18.219,10.868,16640,9960,2.848,0.753,824.366,49.1765,31580,490,5.49946,0.106601,0.202,0.031,Found with our in-house single transit finder; Sector 46,2022-02-06,vogl,,107754
27670294,27670294.01,,,,,,,,,PC,,11.2204,0.006,66.348317,42.959203,12.095,0.075,-17.043,0.045,2458815.713,0.005,1.236,0,0.158,0.013,1.73,,1592,,8.51,1.853,346.56,5.173,5970.31,108.351,4.16243,0.122288,1.43789,0.170796,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421065
27768855,27768855.01,,,,,,,,,PC,,12.255,0.008,296.052706,49.404581,3.132,0.043,-6.716,0.043,2458683.483,0.009,1.923,0.001,0.098,0.016,0.963,,887,,4.328,1.139,724.339,11.8395,6547,124.735,4.19734,0.0886889,1.53296,0.0704648,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421140
27774415,27774415.01,4456.01,,,,,,,,PC,,13.2394,0.007,296.200551,49.14003,-2.78,0.032,-12.122,0.036,2458686.309,,4.941,,4.045,,9.164,,8404.562,,,,739.412,11.158,5550.93,21.5889,4.18442,,1.32567,,Kepler confirmed planet KOI-128.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),2020-07-14,wilson,,28551
27841347,27841347.01,,,,,,,,,PC,,12.2683,0.013,296.392307,52.836987,1.276,0.038,-3.073,0.036,2458683.171,0.007,2.561,0,0.06,0.011,1.294,,1191,,4.489,0.85,570.176,6.31,6733,148.809,4.44114,0.0910131,1.19576,0.0517085,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421175
27847307,27847307.01,,,,,,,,,PC,,13.6764,0.009,296.507374,49.457231,0.755,0.116,-13.288,0.106,2458684.541,,2.498,,5.523,,26.53,,24138.666,,,,1122.19,74.875,6015.1,24.9,4.15674,,1.45655,,Kepler confirmed planet KOI-1416.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),2020-07-14,wilson,,28551
27858644,27858644.01,,,,,,,,,FP,,13.286,0.006,278.907461,32.994892,-78,8,-748,8,2459017.12,0.01,,,6.8,0.5,75.296,2.174,67000,2000,,,,,,,,,,,FP: Contaminated transit from nearby EB,2021-03-17,deen,,95522
27896467,27896467.01,,,,,,,,,PC,,9.25218,0.006,279.10381,29.959923,2.655,0.034,20.231,0.042,2459010.38,,8.25,,,,1.711,,1574.86,,,,190.805,0.8255,5941,140.841,3.92829,0.0812184,1.87329,0.0882816,Possible two bodies in orbit around the main star as seen in the light curve,2021-02-15,chiarello,,94405
27916356,27916356.01,3534.01,,,,,,,,PC,,12.6877,0.007,296.837248,48.239969,0.961,0.025,8.429,0.026,2458684.086,,3.236,,5.608,,8.967,,8225.314,,,,587.039,5.0285,5613,107.744,4.19602,0.0759671,1.31474,0.059593,Kepler confirmed planet KOI-17.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),2020-07-14,wilson,,28551
27986571,27986571.01,,,,,,,,,PC,,13.8313,0.006,10.356289,-22.352281,-463.23,0.043,-381.766,0.025,2458402.15,0.008,,,7,0.5,10.364,0.76,9500,700,0.126,0.005,9.09849,0.002385,,,,,,,WD single transit (nominal period: 41000 years!!!),2021-03-22,deen,,95608
27990610,27990610.01,4482.01,,,,,,,,PC,,14.4889,0.008,297.015464,49.225299,-2.464,0.043,-3.825,0.047,2458685.154,,2.815,,2.031,,3.28,,3016.433,,,,939.744,17.915,5413,122,4.39994,,1.01304,,Kepler confirmed planet KOI-767.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),2020-07-14,wilson,,28551
28019424,28019424.01,,,,,,,,,PC,,11.9152,0.011,67.034612,44.435398,7.551,0.09,-1.714,0.055,2458814.804,0.009,1.36,0.001,0.141,0.022,0.978,,900,,7.582,4.403,718.607,30.441,6595.53,108.484,3.91549,0.0949789,2.14401,0.131633,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421451
28180816,28180816.01,,,,,,,,,PC,,9.38626,0.006,67.366436,42.566906,14.747,0.101,-51.018,0.081,2458815.398,0.01,3.229,0.002,0.154,0.014,0.497,,458,,3.423,0.78,151.108,1.093,6028.52,98.2638,4.22551,0.0874114,1.35052,0.0874775,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421055
28638238,28638238.01,,,,,,,,,PC,,12.4075,0.007,282.539181,33.834402,-5.062,0.036,-9.432,0.044,2458678.462,0.007,6.513,0,0.149,0.018,2.07,,1905,,8.446,0.536,774.931,13.369,5989,121.156,3.98025,0.0797627,1.77667,0.0843771,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420932
28754926,28754926.01,,,,,,,,,PC,,14.3622,0.008,68.264572,46.392133,-7.799,0.097,3.084,0.048,2458820.239,0.005,5.84,0.003,2.433,0.033,59.286,4.82,53140,4430,11.77,0.49,160.618,1.6135,3441,157,4.76924,0.00752362,0.463823,0.0144854,"Qual:A,CM,3.3e+08yr,MissingRot?. Rp=(0.97-1.14)Rj. b=0.00-0.19 (3-97HDI).",2022-02-19,bouma,tfopwg,108227
28799599,28799599.01,,,,,,,,,PC,,10.9353,0.006,68.47868,47.828531,13.065,0.08,-10.187,0.044,2458816.243,0.2,3.577,0.005,4.5,1,1.902,0.271,1750,250,,,319.248,4.9535,4524,122,,,2.53475,,"hot Jupiter candidate around evolved star. nearby companion, needs SG1 followup",2021-05-13,grunblatt,,97006
29106627,29106627.01,6070.01,,,,,,,,PC,,11.1878,0.006,118.325326,44.025016,-28.608,0.059,-7.802,0.045,2459580.834,0.006,9.525,0.007,2.8,0.2,1.075,0.163,990,150,2.6,0.2,140.442,0.75,4998,122.98,4.58615,0.0875278,0.767312,0.047598,PHT candidate. Event at T~2582.8 is a background event.,2022-05-18,eisner,,415792
29169215,29169215.01,5584.01,,,,,,,,PC,,10.7314,0.006,135.324512,47.452351,4.639,0.057,-12.946,0.046,2458872.505,0.004,,,3.5,0.3,1.76,0.299,1620,275,,,69.0641,0.1898,4092.4,121.248,4.49983,0.109724,0.74509,0.0683819,Planet Hunters TESS candidate. Single transit event.,2020-09-22,eisner,,35953
29170565,29170565.01,,,,,,,,,PC,,7.763,0.006,135.389657,43.68114,-23.649,0.074,-14.681,0.072,2458867.473,0.014,3.659,0.003,0.137,0.02,0.642,,591,,11.554,0.783,198.735,2.1235,6079,127.079,3.37088,0.0814183,3.64472,0.171812,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421075
29430403,29430403.01,,,,,,,,,PC,,11.4907,0.006,313.624861,-29.527891,41.097,0.074,-8.056,0.048,2458325.712,0.002,1.878,0,0.065,0.005,16.247,,14853,,12.66,4.66,220.491,2.7115,5384,139.529,4.47363,0.08368,0.927664,0.0514397,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29435
29478974,29478974.01,,,,,,,,,PC,,10.619,0.006,314.081686,-26.588698,17.123,0.114,-39.198,0.072,2458326.465,,24.903,,3.333,,4636.327,,986021.224,,9.965,,197.173,2.881,4737,77,,,1.75839,,firstBulkUpload,2019-05-12,lipponen,,3542
29478974,29478974.02,,,,,,,,,PC,,10.619,0.006,314.081686,-26.588698,17.123,0.114,-39.198,0.072,2458333.785,,12.458,,3.333,,2896.048,,930564.653,,22.632,,197.173,2.881,4737,77,,,1.75839,,firstBulkUpload,2019-05-12,lipponen,,3542
29667425,29667425.01,,,,,,,,,PC,,10.2633,0.006,315.330873,-27.31751,6.063,0.106,-21.191,0.072,2458335.958,,,,2,,6146.424,,996521.194,,6.675,,234.097,4.5865,5670,126.501,4.04936,0.0793904,1.57066,0.0815428,sector1,2019-05-25,lipponen,,3787
29786532,29786532.01,,,,,,,,,PC,,14.5317,0.006,109.978473,-40.231884,-9.834,0.073,6.506,0.084,2458493.01,0.001,1.588,0,2.369,0.057,245.215,26.312,202163.668,23943.25,41.51,12.453,315.71,4.2125,3645,122,4.3072,,0.846396,,"Cand HJ/BD, Collinder135 (40 Myr). Rp is OK (Burrows+2001). CMD good (pre-MS). RA/dec on outskirts. (CDIPS; Bouma+19).",2019-09-18,bouma,tfopwg,5722
29821723,29821723.01,,,,,,,,,PC,,14.3972,0.007,316.174214,-26.507097,7.848,0.097,-43.447,0.065,2458323.458,0.002,2.688,0,0.091,0.004,29.347,,26668,,10.138,0.71,295.344,6.7115,3822,157,4.63833,0.0133049,0.615305,0.0204674,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421492
29953537,29953537.01,,,,,,,,,PC,,10.2097,0.006,133.641742,-45.483829,8.604,0.055,-152.628,0.05,2458517.872,,0.731,,1.545,0.045,0.215,0.003,198.2,2.8,1.345,0.077,137.386,0.567,5508,133.48,4.44733,0.0819957,0.974444,0.0514071,Corrected transit depth of 160.92 (+/-12.21) ppm; USP candidate; possibly two stars in same pixel,2021-01-29,spencer,,93734
29959761,29959761.01,2340.01,,,,,,,,PC,,11.8012,0.006,42.261441,-16.557655,59.809,0.087,84.904,0.134,2458412.056,0.002,1.647,0,0.049,0.004,5.544,,5093,,5.79,0.75,178.999,1.6895,5027,122.404,4.63684,0.0887618,0.727304,0.0450753,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29406
29986808,29986808.01,,,,,,,,,PC,,10.4281,0.006,72.912417,-68.270346,32.937,0.153,65.116,0.181,2458325.632,,2.134,,1.267,,7062.699,,998504.038,,5.722,,218.233,3.7885,6276,135.281,4.32471,0.0888507,1.26367,0.061206,sector1,2019-05-25,lipponen,,3787
29986808,29986808.02,,,,,,,,,PC,,10.4281,0.006,72.912417,-68.270346,32.937,0.153,65.116,0.181,2458326.692,,2.123,,1.333,,6085.932,,996321.87,,8.972,,218.233,3.7885,6276,135.281,4.32471,0.0888507,1.26367,0.061206,sector1,2019-05-25,lipponen,,3787
29989691,29989691.01,,,,,,,,,PC,,9.837,0.006,72.793946,-65.975307,32.873,0.173,7.809,0.167,2458329.768,,7.195,,2.199,,0.176,0.001,161.7,0.8,2.86,0.17,243.884,4.613,6137.16,129.077,4.0232,0.0882687,1.73645,0.0912814,Corrected transit depth of 214.7 (+/-7.6) ppm; Marginal PC; within southern Continuous Viewing Zone,2021-01-29,spencer,,93735
30275829,30275829.01,,,,,,,,,PC,,11.6957,0.6,74.003738,-66.437942,1.56,0.053,-0.026,0.07,2459038.072,0.05,8.11,0.05,12,4,,,,,,,10504.1,1508.69,,,,,,,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022,2022-12-09,taaki,,422799
30275861,30275861.01,,,,,,,,,PC,,12.167,0.068,74.180036,-66.417381,20.9,2.7,-2.1,2.5,2459036.731,0.05,1.1,0.05,4,2,,,,,,,,,,,,,,,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022,2022-12-09,taaki,,422801
30654608,30654608.01,,,,,,,,,PC,,10.5145,0.007,134.384536,-47.847661,-5.066,0.057,4.208,0.052,2458519.662,0.009,2.496,0,2.887,,2.504,,2304,,28.6,10.8,1826.91,104.045,4641,122,,,17.4649,,"new CTOI likely member of Muzzio 1     , PATHOS-02 in Nardiello et al. (2020)",2020-11-03,nardiello,,36655
30836645,30836645.01,,,,,,,,,PC,,10.3255,0.006,200.386035,-38.543973,45.506,0.11,-45.632,0.157,2458604.604,0.001,,,3.93,0.12,18.311,0.043,16723.97,40.03,12.82,0.02,140.227,1.921,5477,125.246,4.45722,0.0816823,0.958429,0.0497186,Found with our in-house single transit finder,2021-02-11,steuer,,94180
30947715,30947715.01,2356.01,,,,,,,,PC,,11.7118,0.007,79.61789,-28.00593,13.54,0.031,-0.28,0.04,2458438.153,0.009,3.66,0.001,0.14,0.014,0.944,,869,,3.74,0.66,415.04,3.587,6150,128.454,4.33149,0.0818626,1.22287,0.05651,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29436
30999876,30999876.01,,,,,,,,,PC,,11.7652,0.008,80.338645,-27.092586,19.302,0.032,12.974,0.045,2458438.369,0.006,5.709,0.001,0.195,0.01,0.643,,592,,8.076,1.999,726.942,12.599,5120,122,,,2.93904,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420770
31054247,31054247.01,,,,,,,,,PC,,12.2528,0.006,80.57406,-25.107957,47.847,0.04,29.457,0.042,2458440.177,,0.874,,,,5.661,,5200,,,,255.629,1.889,5332,121.936,4.64372,0.0819518,0.756949,0.0405025,DTARPS 036 in Melton+  arXiv:2302.06724,2023-03-01,feigelson,,426909
31054255,31054255.01,,,,,,,,,PC,,13.8311,0.007,80.57581,-25.11967,20.215,0.092,24.631,0.104,2458439.304,0,0.874,,0.049,0,194.018,,163641,,26.527,1.857,54.3294,0.2139,3021,157,4.96097,0.00983715,0.269698,0.008204,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421496
31142436,31142436.01,,,,,,,,,PC,,11.7732,0.006,81.397716,-25.517309,24.949,0.031,-22.143,0.038,2458435.068,0.012,5.271,0.002,0.052,0.007,1.387,,1277,,3,0.62,216.12,1.0825,5294,128.211,4.5813,0.0837398,0.808919,0.047206,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29428
31273263,31273263.01,,,,,,,,,PC,,10.7858,0.006,88.103754,-68.159441,5.418,0.049,26.235,0.048,2458337.86,,,,8.033,,1795.813,,808717.652,,118.569,,495.635,5.735,5631.77,122.057,3.46682,0.0805734,3.05932,0.162,sector1,2019-06-06,lipponen,,3787
31656385,31656385.01,2360.01,,,,,,,,PC,,11.9961,0.006,46.659674,-66.007932,14.519,0.033,11.727,0.033,2458320.145,0.001,22.827,0,0.293,0.01,10.327,,9466,,16.14,1.88,580.188,6.1975,5963.06,113.299,4.08204,0.0798513,1.573,0.0719975,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29527
31869740,31869740.01,,,,,,,,,PC,,12.0465,0.006,53.111533,-68.722059,-2.175,0.04,-7.272,0.038,2459065.883,0.005,4.429,0.002,2.702,,3.821,0.643,3513.1,592.2,31.61,,983.19,20.2395,4987,122,,,3.7351,,newCTOI,2020-12-01,gsun,,52281
32150630,32150630.01,,,,,,,,,PC,,11.9631,0.006,59.244576,-68.625973,35.835,4.138,37.421,4.138,2458325.719,,1.494,,1.833,,2370.727,,887355.688,,25.803,,,,4323,173,,,0.704821,0.0703579,sector1,2019-05-25,lipponen,,3787
32150630,32150630.02,,,,,,,,,PC,,11.9631,0.006,59.244576,-68.625973,35.835,4.138,37.421,4.138,2458326.47,,1.489,,1.433,,3974.745,,974290.013,,12.327,,,,4323,173,,,0.704821,0.0703579,sector1,2019-05-25,lipponen,,3787
32296259,32296259.01,6434.01,,,,,,,,PC,,12.2757,0.007,117.328732,-11.242347,-0.099,0.038,-28.022,0.028,2458490.123,0.003,2.778,0,0.09,0.005,6.416,,5892,,5.085,0.577,128.006,0.456,3982,157,4.60464,0.0118164,0.656081,0.0194413,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421500
32451836,32451836.01,,,,,,,,,PC,,9.6535,0.006,27.613154,-31.225167,117.889,0.066,21.306,0.044,2458392.66,0.2,,,,,1.497,,1378.27,,,,155.726,0.847,5776,125.479,4.22236,0.0733292,1.30728,0.0607789,"Camera 2, CCD 3, Column 2023, Row 1622, Sector 3",2021-04-23,chiarello,,96568
32606889,32606889.01,,,,,,,,,PC,,11.6416,0.006,85.192377,-24.926452,0.992,0.04,-3.132,0.049,2458436.237,0.001,4.687,0,0.195,0.004,11.914,,10913,,23.92,3.64,750.964,15.891,6530,121.892,3.9294,0.0919354,2.0869,0.097216,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29427
32677675,32677675.01,2704.01,,,,,,,,PC,,12.7063,0.008,85.704592,-25.996545,-10.654,0.028,-7.534,0.036,2458469.366,,3.637,,3.9,,19.154,,17486.9,,17.715,,718.493,11.6905,6552,134.161,4.39496,0.0897835,1.22553,0.057902,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,2021-02-08,olmschenk,,93945
32925763,32925763.01,2352.01,,,,,,,,PC,,11.0863,0.006,87.373285,-25.375613,1.367,0.035,9.988,0.041,2458468.175,0.002,1.681,0,0.058,0.006,3.023,,2780,,6.24,0.96,231.907,1.5495,5695,127.215,4.4103,0.0770621,1.03969,0.0521005,"new CTOI, Montalto et al. (2020)",2020-08-10,montalto,,29426
