TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
219254268,219254268.01,,6.955,6.95526,12.211,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
220076110,220076110.01,2796.01,4.808,4.80649,11.916,Y,N,,Thought FP,FP(EB),N,"new CTOI, Montalto et al. (2020); had odd-even in sector 6 but only 4 transits",,montalto,qlp
220402290,220402290.02,,0.722,0.7853; 0.7853,11.5681,Y,N,,,FP(EB),N,Rp = 52 Re,,lipponen,
220474209,220474209.02,,0.942,1.9603; 0.9811; 24.5475; 0.9801,10.2897,Y,N,,,FP(EB),N,EB,,lipponen,
220567625,220567625.01,,19.444,44.9483; 55.16; 51.3871; 18.6113; 10.4999; 55.5924,7.3545,Y,N,,,FP(EB),N,Rp = 68 Re,,lipponen,
220567625,220567625.02,,,44.9483; 55.16; 51.3871; 18.6113; 10.4999; 55.5924,7.3545,Y,N,,,FP(EB),N,Rp = 68 Re,,lipponen,
224307602,224307602.01,,0,17.215,8.7093,Y,N,,,FP(EB),N,Centroid offset on another star,PHT candidate. Single transit event.,eisner,
231833061,231833061.01,,,26.1556; 26.1877,10.9619,Y,N,,,FP(EB),N,EB,,lipponen,
231833061,231833061.02,,,26.1556; 26.1877,10.9619,Y,N,,,FP(EB),N,EB,,lipponen,
231860752,231860752.01,,0.989,1.9599,8.582,Y,N,,,FP(EB),N,Rp = 43 Re,,lipponen,
233961334,233961334.01,,1.153,1.15256,10.5873,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
234347951,234347951.01,,,23.3043; 6.1164,10.4416,Y,N,,,FP(EB),N,Rp = 104 Re,,lipponen,
234347951,234347951.02,,,23.3043; 6.1164,10.4416,Y,N,,,FP(EB),N,Rp = 104 Re,,lipponen,
251061007,251061007.01,,2.621,2.62081,10.2215,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
253922296,253922296.02,,9.426,3.1386; 3.1417,9.92411,Y,N,,,FP(EB),N,Synchronized; secondary,,lipponen,
259784884,259784884.01,,,9.6613,11.5422,Y,N,,,FP(EB),N,First 2 events seem spurious; third is real,,lipponen,
260639999,260639999.01,,22.635,16.7643,11.063,Y,N,,,FP(EB),N,Too faint for QLP; possible single; centroid offset in SPOC,,galgano,
263074592,263074592.01,,8.376,19.5809; 16.3529; 8.0703,9.3587,Y,N,,,FP(EB),N,Rp = 288 Re,,lipponen,
263074592,263074592.02,,8.413,19.5809; 16.3529; 8.0703,9.3587,Y,N,,,FP(EB),N,Rp = 288 Re,,lipponen,
265469420,265469420.01,,,15.5267,11.3881,Y,N,,,FP(EB),N,Rp = 47 Re,,lipponen,
265469420,265469420.02,,,15.5267,11.3881,Y,N,,,FP(EB),N,Rp = 47 Re,,lipponen,
267185423,267185423.01,,,11.2268,9.4963,Y,N,,,FP(EB),N,Single transit; too large,,lipponen,
267608606,267608606.01,,0,8.3251,9.5729,Y,N,,,FP(EB),N,Multi or EB; investigate further,,eisner,
270450687,270450687.02,,0,42.7131,9.74467,Y,N,,,FP(EB),N,Possibly EB primary transit to .01,,deen,
273792220,273792220.01,,1.987,28.822; 22.9961; 9.8263; 13.578; 18.2389; 0.9939,7.4648,Y,N,,,FP(EB),N,248 sigma odd-even,,lipponen,
273792220,273792220.02,,1.987,28.822; 22.9961; 9.8263; 13.578; 18.2389; 0.9939,7.4648,Y,N,,,FP(EB),N,248 sigma odd-even,,lipponen,
275083922,275083922.01,,7.404,2.9286; 14.8333,10.9613,Y,N,,,FP(EB),N,SPOC centroid offset centered near other star,,cloutier,
278683641,278683641.01,,4.252,4.2414; 4.2419,9.5402,Y,N,,,FP(EB),N,Rp = 74 Re,,lipponen,
278683641,278683641.02,,4.26,4.2414; 4.2419,9.5402,Y,N,,,FP(EB),N,Rp = 74 Re,,lipponen,
278784173,278784173.01,,1.497,0.7474,12.814,Y,N,,,FP(EB),N,Rp = 35 Re,,lipponen,
278988794,278988794.01,,7.503,15.184; 7.5916,13.7216,Y,N,,,FP(EB),N,Rp = 59 Re,,lipponen,
278988794,278988794.02,,3.808,15.184; 7.5916,13.7216,Y,N,,,FP(EB),N,Rp = 59 Re,,lipponen,
278990954,278990954.01,,0,10.393,10.1864,Y,N,,,FP(EB),N,EB in GV,Planet Hunters TESS candidate. Single transit event.,eisner,
287328866,287328866.01,,2.063,0.9616; 0.9614; 1.0384; 0.9616; 0.9616; 0.9616,12.4034,Y,N,,,FP(EB),N,Rp =27.5 Re; ruled EB,,lipponen,
287328866,287328866.02,,2.08,0.9616; 0.9614; 1.0384; 0.9616; 0.9616; 0.9616,12.4034,Y,N,,,FP(EB),N,Rp =27.5 Re; ruled EB,,lipponen,
290049697,290049697.01,,,12.4277,9.188,Y,N,,,FP(EB),N,Single transit; too large to be planet,,lipponen,
300903537,300903537.03,,,5.823336,12.2995,Y,N,,,FP(EB),N,Primary/secondary,,lipponen,
302495337,302495337.01,,2.25,2.24778,9.36462,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,qlp
304339227,304339227.01,4629.01,0,9.0521,8.6577,Y,N,,,FP(EB),N,Centroid offset,PHT candidate. Single transit event.,eisner,spoc
