TIC,CTOI,Period (exofop),Period (TEV),Transit Epoch (BJD),Notes
51238317.0,51238317.01,,,2458850.663,Found with our in-house single transit finder; Sector 20
289371153.0,289371153.01,,,2458680.403,"new CTOI, Montalto (2022)"
352179145.0,352179145.01,,,2458763.956,"new CTOI, Montalto (2022)"
802647157.0,802647157.01,,,2458680.415,"new CTOI, Montalto (2022)"
29430403.0,29430403.01,1.878,1.877567,,"new CTOI, Montalto et al. (2020)"
444335503.0,444335503.01,1.2,,,Data obtained using the LightKurve framework
293845053.0,293845053.01,,,2459259.659,Found with our in-house single transit finder
408550830.0,408550830.01,,,2458815.718,"new CTOI, Montalto (2022)"
152283270.0,152283270.01,,11.2526,,Single transit; PC in GV; asteroid from background light during transit
277748419.0,277748419.01,,,2458324.681,"new CTOI, Montalto (2022)"
71295401.0,71295401.01,6.22,,,Possible two planets as per light curve
91251292.0,91251292.02,,,,
376457352.0,376457352.01,,,,
27133479.0,27133479.01,,,2459670.184,Nguyen et al. (2022)
270651953.0,270651953.01,,,,Found with our in-house single transit finder
403836000.0,403836000.01,,,2458568.514,"new CTOI, Montalto (2022)"
22751984.0,22751984.01,,,2458897.293,"new CTOI, Montalto (2022)"
62632191.0,62632191.01,,,,No TEV report; Found with our in-house single transit finder
188461829.0,188461829.01,,,2458868.402,"new CTOI, Montalto (2022)"
274812877.0,274812877.01,,,2458710.956,"new CTOI, Montalto (2022)"
33945661.0,33945661.01,,,2458357.126,manual ELEANOR search Tom Kaye
317536999.0,317536999.01,5.856,,,"No report on TEV; new CTOI likely member of Ruprecht 94  , PATHOS-22 in Nardiello et al. (2020)"
236770234.0,236770234.01,,,,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
183231138.0,183231138.01,,,2458355.167,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
147069011.0,147069011.01,,,2458628.56,"Likely EB, Alessi 8 (CG18, 120Myr). Prot 6d; dubious bc Teff 6500K."
27550937.0,27550937.01,,,2459563.268,Found with our in-house single transit finder; Sector 46
428531167.0,428531167.01,,,2458790.191,"new CTOI, Montalto (2022)"
397361541.0,397361541.01,,,2458331.45,DTARPS 413 in Melton+  arXiv:2302.06724
35703676.0,35703676.01,,,2458382.79,"new CTOI, Montalto et al. (2020)"
141160020.0,141160020.01,,,2459622.286,ctoi Sec 48-49 Tess-Spoc -Vetting attached
146652799.0,146652799.01,19.778,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
394834663.0,394834663.01,,,2458584.002,"new CTOI, Montalto (2022)"
250187388.0,250187388.01,,,,Found with our in-house single transit finder; Sector 32; W Shaped
93420346.0,93420346.01,,,2458464.602,"new CTOI, Montalto (2022)"
172752083.0,172752083.01,,,2459004.96,"low-SNR candidate, 2 transits"
362104293.0,362104293.01,,,2459701.259,Found with our in-house single transit finder; Sector 51; v-shaped
233855268.0,233855268.01,,,2458642.904,"new CTOI, Montalto (2022)"
129103090.0,129103090.01,,,2458734.776,"new CTOI, Montalto (2022)"
115620634.0,115620634.01,,,2458761.853,"new CTOI, Montalto (2022)"
229076808.0,229076808.01,,,2458459.428,Found with our in-house single transit finder
236903869.0,236903869.01,,,2458708.79,"new CTOI, Montalto (2022)"
92835691.0,92835691.01,22.366,,,"new CTOI likely member of SAI 91       , PATHOS-07 in Nardiello et al. (2020)"
154666392.0,154666392.01,,,2458980.874,"new CTOI, Montalto (2022)"
27986571.0,27986571.01,,,2458402.15,WD single transit (nominal period: 41000 years!!!)
302849206.0,302849206.01,,,2458842.145,"new CTOI, Montalto (2022)"
349793830.0,349793830.01,,,,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
25314899.0,25314899.01,,,2458765.685,Host star is likely to be very young
61708231.0,61708231.01,,,2458469.871,DTARPS 080 in Melton+  arXiv:2302.06724
251975224.0,251975224.01,,,2458956.781,"new CTOI likely member of King 20, PATHOS-55 in Nardiello et al. (2021)"
275180352.0,275180352.01,,,2459260.85,Found with our in-house single transit finder
261136000.0,261136000.01,,,,Just found on Planet Hunters. Will refine the ephemeris ASAP
130370378.0,130370378.01,,,2459231.752,single transit (nominal period: 490 days)
379376771.0,379376771.01,,,2458986.101,"Qual:A,PMS?. Wrn: mean(R)=1.071. Rp=(0.77-2.60)Rj. b=0.04-0.97 (3-97HDI)."
62618413.0,62618413.01,7.02,,,All data obtained using the LightKurve framework
437088276.0,437088276.01,,,2458494.734,DTARPS 440 in Melton+  arXiv:2302.06724
356015361.0,356015361.01,11.2723,,,Eccentric EB
457134361.0,457134361.01,,,,
399689864.0,399689864.01,,,2458812.615,"new CTOI, Montalto (2022)"
289505441.0,289505441.01,,,2458678.664,"new CTOI, Montalto (2022)"
9707944.0,9707944.01,,,2459107.485,"PHT candidate. Two transits in sector 2, one in 29 and 1 in 42."
431206812.0,431206812.01,,,,
454142943.0,454142943.01,,,,Found with our in-house single transit finder; Sector 32
366810260.0,366810260.01,,,,
65259968.0,65259968.01,,,2458355.585,"new CTOI, Montalto (2022)"
278341415.0,278341415.01,,,2458765.17,"Qual:A,CM,5.6e+07yr. Wrn: mean(R)=1.025. Rp=(0.67-2.48)Rj. b=0.00-0.90 (3-97HDI)."
126984335.0,126984335.01,,,2459490.366,Found with our in-house single transit finder; Sector 43
79172641.0,79172641.01,,,2458492.599,DTARPS 099 in Melton+  arXiv:2302.06724
302212110.0,302212110.01,8.548,8.5473,,"new CTOI, Montalto et al. (2020)"
435904852.0,435904852.01,,,2459507.768,Found with our in-house single transit finder; Sector 44
431486590.0,431486590.01,,,2458763.809,"new CTOI, Montalto (2022)"
344131495.0,344131495.01,,,2458655.307,DTARPS 382 in Melton+  arXiv:2302.06724
229503517.0,229503517.01,3.974,,,Too large
134549022.0,134549022.01,,,2458483.825,"new CTOI, Montalto et al. (2020)"
32606889.0,32606889.01,4.687,4.68696,,"new CTOI, Montalto et al. (2020)"
