TIC,CTOI,Period (days),Transit Epoch (BJD),Notes
146627106,146627106.01,1714.34,2458492.76,"Possible two planets, Camera 2, CCD 2, Column 1935, Row 656, Sector 7"
146652799,146652799.01,19.778,2458376.709,"new CTOI, Montalto et al. (2020)"
146909991,146909991.01,2.857,2458466.729,"new CTOI, Montalto (2022)"
147069011,147069011.01,7.328,2458628.56,"Likely EB, Alessi 8 (CG18, 120Myr). Prot 6d; dubious bc Teff 6500K."
147115277,147115277.01,0.894,2458492.411,DTARPS 169 in Melton+  arXiv:2302.06724
147252079,147252079.01,1.364,2458467.285,"new CTOI, Montalto (2022)"
147335089,147335089.01,5.525,2458322.955,"new CTOI, Montalto (2022)"
147426828,147426828.01,1.462,2458492.845,"new CTOI likely member of NGC 2318     , PATHOS-13 in Nardiello et al. (2020)"
147561732,147561732.01,nan,2459391.968,Found with our in-house single transit finder; Sector 40
147714150,147714150.01,0.573,2458683.152,"new CTOI, Montalto (2022)"
147852475,147852475.01,3.917,2458464.761,"new CTOI, Montalto et al. (2020)"
147890054,147890054.01,8.668,2458675.432,"new CTOI, Montalto (2022)"
147951484,147951484.01,1.356,2458870.007,"new CTOI, Montalto (2022)"
147953276,147953276.01,3.052,2458681.52,"new CTOI, Montalto (2022)"
148043270,148043270.01,0.318,2458468.209,"new CTOI, Montalto (2022)"
148622782,148622782.01,1.15,2458869.363,"new CTOI, Montalto (2022)"
148624719,148624719.01,2.764,2458868.611,"new CTOI, Montalto (2022)"
148835042,148835042.01,2.458,2458954.402,"new CTOI, Montalto (2022)"
148914245,148914245.01,8.568,2458680.867,"new CTOI, Montalto (2022)"
148967511,148967511.01,17.313,2458675.164,"new CTOI, Montalto (2022)"
148969860,148969860.01,18.811,2458674.932,"new CTOI, Montalto (2022)"
149349867,149349867.03,9.169,2458332.589,Near a 3:2 MMR with TOI-2392.01
149391403,149391403.01,5.23,2458330.5,Possible hot jupiter
149508001,149508001.01,0.721,2458930.778,Corrected transit depth of 366.38 (+/-81.29) ppm; USP candidate
149928173,149928173.01,8.248,2458675.877,"new CTOI, Montalto (2022)"
149928933,149928933.01,4.213,2458680.233,"new CTOI, Montalto (2022)"
149990098,149990098.01,nan,2459234.672,Found with our in-house single transit finder
150105822,150105822.01,2.492,2458324.835,"new CTOI, Montalto (2022)"
150277490,150277490.01,3.061,2458868.759,"new CTOI, Montalto (2022)"
150384999,150384999.01,22.103,2458850.775,"new CTOI, Montalto (2022)"
150951108,150951108.01,3.978,2458762.029,"new CTOI, Montalto (2022)"
150986109,150986109.01,nan,2459494.322,"newCTOI, Single transit"
151628217,151628217.01,1.111,2458437.088,"new CTOI, Montalto et al. (2020)"
152070435,152070435.01,nan,2458358.436,Found with our in-house single transit finder
152226055,152226055.01,1.431,2458325.145,"new CTOI, Montalto et al. (2020)"
152283270,152283270.01,nan,2458336.0,drop_in_two_phases
152359413,152359413.01,nan,2458398.6,Found with our in-house single transit finder
152406952,152406952.01,nan,2459252.999,Found with our in-house single transit finder
152799053,152799053.01,0.539,2458494.37,DTARPS 176 in Melton+  arXiv:2302.06724
153067709,153067709.01,0.208,2458495.89,DTARPS 177 in Melton+  arXiv:2302.06724
153095829,153095829.01,1.551,2458469.345,DTARPS 178 in Melton+  arXiv:2302.06724
153919886,153919886.01,2.105,2458683.16,"new CTOI, Montalto (2022)"
153936502,153936502.01,2.303,2458681.247,"new CTOI, Montalto (2022)"
153949511,153949511.03,14.86,2458684.95,Raw flux (PDC flux is messed up by stellar rotation) shows six clear and periodic transits
153990815,153990815.01,4.443,2458683.214,"new CTOI, Montalto (2022)"
154067753,154067753.01,11.652,2459617.53,Nguyen et al. (2022)
154257696,154257696.01,13.883,2458735.115,"new CTOI, Montalto (2022)"
154353598,154353598.01,0.923,2458738.334,"new CTOI, Montalto (2022)"
154511099,154511099.01,8.614,2458675.405,"new CTOI, Montalto (2022)"
154562343,154562343.01,6.534,2458710.443,"new CTOI, Montalto (2022)"
154573032,154573032.01,1.542,2459008.27,15 transits
154664949,154664949.01,4.771,2458983.187,"new CTOI, Montalto (2022)"
154666392,154666392.01,7.707,2458980.874,"new CTOI, Montalto (2022)"
154671430,154671430.01,1.164,2458491.988,Cand super-Neptune in NGC2527 (CG18). CMD shows a bit faint. RA/dec show on outskirts. (CDIPS; Bouma+19).
154766316,154766316.01,1.668,2458737.055,"new CTOI, Montalto (2022)"
154809195,154809195.01,4.837,2458682.252,"new CTOI, Montalto (2022)"
154873779,154873779.01,0.902,2458682.713,"new CTOI, Montalto (2022)"
154927098,154927098.01,1.123,2458684.073,From 5 Cycle 2 SPOC sectors; slightly V-shaped
154927164,154927164.01,0.81,2459010.902,"Qual:B,PMS?,1.9e+07yr. Rp=(1.21-1.52)Rj. b=0.00-0.53 (3-97HDI)."
155008080,155008080.01,6.071,2458734.509,"new CTOI, Montalto (2022)"
155477509,155477509.01,2.504,2458813.891,"new CTOI, Montalto (2022)"
155637159,155637159.01,4.927,2458683.249,"new CTOI, Montalto (2022)"
155637265,155637265.01,3.437,2458681.537,"new CTOI, Montalto (2022)"
155654793,155654793.01,16.9,2458666.796,"new CTOI, Montalto (2022)"
155877220,155877220.01,4.02,2458710.829,"new CTOI, Montalto (2022)"
155916287,155916287.01,6.053,2458735.625,"new CTOI, Montalto (2022)"
155916612,155916612.01,16.178,2458747.323,Planet Hunters TESS candidate. Additional transits in the FFIs.
155947147,155947147.01,nan,2458979.16,single transit event from the TSTPC working group
156081668,156081668.01,12.406,2458951.754,"new CTOI, Montalto (2022)"
156096834,156096834.01,3.13,2458817.5,"Camera 1, CCD 3, Column 1398, Row 1714, Sector 19"
156138731,156138731.01,1.329,2459744.695,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
156241259,156241259.01,2.655,2458468.683,DTARPS 180 in Melton+  arXiv:2302.06724
156255925,156255925.01,3.983,2458979.736,"new CTOI, Montalto (2022)"
156457567,156457567.01,nan,2458851.243,single transit event from the TSTPC working group
156514476,156514476.01,14.422,2459645.913,Nguyen et al. (2022)
156947629,156947629.01,5.253,2458464.984,"new CTOI, Montalto et al. (2020)"
157129170,157129170.01,2.783,2458469.839,DTARPS 182 in Melton+  arXiv:2302.06724
157330058,157330058.01,5.794,2458683.149,"new CTOI, Montalto (2022)"
157757871,157757871.01,4.888,2458680.304,"new CTOI, Montalto (2022)"
157759665,157759665.01,10.27,2458673.15,"new CTOI, Montalto (2022)"
157778337,157778337.01,23.192,2458663.518,"new CTOI, Montalto (2022)"
157878913,157878913.01,0.831,2459637.796,Nguyen et al. (2022)
157892860,157892860.01,3.343,2458680.594,"new CTOI, Montalto (2022)"
157999789,157999789.01,26.141,2458674.313,"new CTOI, Montalto (2022)"
158209498,158209498.01,nan,2459038.078,Found with our in-house single transit finder; transit finder output attached under 'Files'
158436232,158436232.01,15.624,2458696.677,"new CTOI, Montalto (2022)"
158445734,158445734.01,0.881,2459608.357,Nguyen et al. (2022)
158656337,158656337.01,3.626,2459009.312,"new CTOI, Montalto (2022)"
158656833,158656833.01,0.493,2459009.821,"new CTOI, Montalto (2022)"
158786520,158786520.01,0.721,2458684.887,Kepler candidate planet KOI-7259.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
158835095,158835095.01,0.575,2458684.52,Kepler candidate planet KOI-1251.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
158958668,158958668.01,2.047,2458467.44,"new CTOI, Montalto (2022)"
158984285,158984285.01,0.898,2458710.701,"new CTOI, Montalto (2022)"
159059181,159059181.01,5.217,2458471.198,"new CTOI likely member of NGC 2112     , PATHOS-16 in Nardiello et al. (2020)"
159159904,159159904.01,0.0,2458918.61,Planet Hunters TESS candidate. Single transit event.
159185219,159185219.01,0.381,2458929.485,"new CTOI, Montalto (2022)"
159343218,159343218.01,109.14,2458992.235,from two confident transits
159348113,159348113.01,7.267,2458678.883,"new CTOI, Montalto (2022)"
159348593,159348593.01,2.278,2458981.524,"new CTOI, Montalto (2022)"
159438790,159438790.01,1.704,2458682.997,"new CTOI, Montalto (2022)"
159614322,159614322.01,nan,2459423.542,Found with our in-house single transit finder; Sector 41
159761678,159761678.01,1.445,2458684.749,Kepler candidate planet KOI-6195.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
160041500,160041500.01,nan,2458729.799,Found with our in-house single transit finder; transit finder output attached under 'Files'
160083301,160083301.01,1.704,2458814.665,"new CTOI, Montalto (2022)"
160097921,160097921.01,2.029,2458682.025,"new CTOI, Montalto (2022)"
160184301,160184301.01,4.814,2458682.916,"new CTOI, Montalto (2022)"
160268798,160268798.01,14.811,2458678.082,"new CTOI, Montalto (2022)"
160298130,160298130.01,13.819,2458677.87,"new CTOI, Montalto (2022)"
160321990,160321990.01,2.596,2458708.946,"new CTOI, Montalto (2022)"
160374965,160374965.01,1.344,2458927.087,"new CTOI, Montalto (2022)"
160585062,160585062.01,6.264,2458686.701,From 10 Cycle 2 SPOC sectors
160804180,160804180.01,4.011,2458707.583,"new CTOI, Montalto (2022)"
161046860,161046860.01,12.582,2458737.088,"new CTOI, Montalto (2022)"
161132119,161132119.01,2.38,2458629.817,"new CTOI, Montalto (2022)"
161169240,161169240.01,nan,2459083.325,Found with our in-house single transit finder; transit finder output attached under 'Files'
161478895,161478895.01,4.867,2458412.268,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
161569903,161569903.01,5.903,2458406.608,"new CTOI, Montalto (2022)"
161617319,161617319.01,2.396,2458409.824,"new CTOI, Montalto (2022)"
161687211,161687211.01,1.253,2458711.24,"new CTOI, Montalto (2022)"
161687285,161687285.01,7.756,2458705.879,"new CTOI, Montalto (2022)"
161924841,161924841.01,nan,2458759.078,single transit event from the TSTPC working group
163078563,163078563.01,1.766,2458494.057,DTARPS 186 in Melton+  arXiv:2302.06724
163360650,163360650.01,1.77,2458491.974,DTARPS 188 in Melton+  arXiv:2302.06724
163962539,163962539.01,3.603,2458711.019,"new CTOI, Montalto (2022)"
164365027,164365027.01,nan,2458999.103,"single transit, ostensibly short period"
164781040,164781040.01,2.349,2458685.724,Kepler candidate planet KOI-7205.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
164790977,164790977.01,4.75,2458386.11,"Camera 2, CCD 3, Column 1139, Row 17, Sector 3"
165110772,165110772.01,0.061,2458325.903,sector1
165161779,165161779.01,2.366,2458841.729,"new CTOI, Montalto (2022)"
165289668,165289668.01,2.366,2458492.911,DTARPS 189 in Melton+  arXiv:2302.06724
165312726,165312726.01,8.311,2459614.499,Nguyen et al. (2022)
165371584,165371584.01,3.48,2458897.068,"new CTOI, Montalto (2022)"
165499311,165499311.01,3.312,2458681.662,"new CTOI, Montalto (2022)"
165598669,165598669.01,3.337,2458737.575,"new CTOI, Montalto (2022)"
165602000,165602000.01,nan,2458714.593,single transit (nominal period: 46 days)
165795955,165795955.01,79.342,2459521.48,79 days period ctoi from ffi sectors 44-47. Vetting attached
165832257,165832257.01,2.558,2458840.308,"new CTOI, Montalto (2022)"
165881460,165881460.01,0.405,2458355.077,"new CTOI, Montalto (2022)"
166178400,166178400.01,91.022,2458622.641,"new CTOI, Montalto (2022)"
166540320,166540320.01,2.436,2458713.174,"Qual:B,CM,2.0e+08yr,OffTarget?. Rp=(0.65-0.98)Rj. b=0.06-0.79 (3-97HDI)."
167085203,167085203.01,15.517,2458317.343,"new CTOI, Montalto et al. (2020)"
167456277,167456277.01,nan,2459124.944,Found with our in-house single transit finder; transit finder output attached under 'Files'
167653919,167653919.01,nan,2459260.792,Found with our in-house single transit finder
167671392,167671392.01,3.963,2458441.306,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
168702709,168702709.01,nan,2459152.357,Found with our in-house single transit finder; Sector 31
168903062,168903062.01,2.674,2458413.056,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
169251938,169251938.01,nan,2458566.877,Found with our in-house single transit finder
169765000,169765000.01,5.273,2458352.943,"new CTOI, Montalto (2022)"
170161682,170161682.01,25.16,2459213.681,PHT candidate. Note that the target it is a relatively crowded field.
170361401,170361401.01,1.094,2458467.661,"new CTOI, Montalto et al. (2020)"
172409594,172409594.01,0.342,2458468.495,DTARPS 195 in Melton+  arXiv:2302.06724
172419713,172419713.01,2.003,2458841.374,"new CTOI, Montalto (2022)"
172752083,172752083.01,13.43,2459004.96,"low-SNR candidate, 2 transits"
173518890,173518890.01,3.158,2458736.971,"new CTOI, Montalto (2022)"
173608140,173608140.01,11.846,2458736.159,"new CTOI, Montalto (2022)"
173639849,173639849.01,nan,2459234.591,Found with our in-house single transit finder
174328045,174328045.01,5.055,2458760.352,"new CTOI, Montalto (2022)"
176366125,176366125.01,nan,2459191.169,Found with our in-house single transit finder; Sector 32
176689244,176689244.01,0.824,2458548.245,DTARPS 198 in Melton+  arXiv:2302.06724
176789524,176789524.01,4.078,2458762.257,"new CTOI, Montalto (2022)"
176963071,176963071.01,5.461,2459665.297,Nguyen et al. (2022)
177333402,177333402.01,3.357,2458492.577,DTARPS 201 in Melton+  arXiv:2302.06724
177617715,177617715.01,2.545,2458493.833,DTARPS 203 in Melton+  arXiv:2302.06724
178143624,178143624.01,nan,2458813.378,single transit event from the TSTPC working group
178242751,178242751.01,5.296,2458412.718,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
178320314,178320314.01,19.18,2458396.146,"new CTOI, Montalto (2022)"
178354956,178354956.01,1.444,2458570.32,"new CTOI, Montalto (2022)"
178367145,178367145.01,3.409,2458489.49,"new CTOI, Montalto et al. (2020)"
178443903,178443903.01,1.426,2458358.996,DTARPS 204 in Melton+  arXiv:2302.06724
178472673,178472673.01,nan,2458496.709,Found with our in-house single transit finder
179576115,179576115.01,5.06,2459037.27,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
180625612,180625612.01,8.265,2458906.618,"Qual:A,NotCM. Rp=(1.94-2.47)Rj. b=0.24-0.69 (3-97HDI)."
180652621,180652621.01,nan,2458907.519,single transit event from the TSTPC working group
180791665,180791665.01,2.103,2458324.554,"new CTOI, Montalto (2022)"
181602717,181602717.01,2.456,2458517.489,"new CTOI likely member of NGC 2671     , PATHOS-17 in Nardiello et al. (2020)"
182992572,182992572.01,24.303,2458536.345,Discovered by my TESS duotransit pipeline in S8 & S35. Third transit in S61 confirmed period.
183231138,183231138.01,3.558,2458355.167,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
184111843,184111843.01,3.085,2458354.251,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
184397998,184397998.01,7.538,2459095.196,WINE hot Jupiter
185336364,185336364.01,4.316,nan,Derived from TESS Data Light Curve Packages
185779182,185779182.01,70.043,2458711.871,"new CTOI likely member of RSG 5, PATHOS-53 in Nardiello et al. (2021)"
186072225,186072225.01,nan,2458608.4,WINE single transit
186510259,186510259.01,1.062,2458764.707,"new CTOI, Montalto (2022)"
186623513,186623513.01,1.371,2458790.078,"new CTOI, Montalto (2022)"
186810853,186810853.01,3.998,2458786.736,"new CTOI, Montalto (2022)"
186838040,186838040.01,4.354,2458516.092,"new CTOI, Montalto (2022)"
188377183,188377183.01,nan,2459600.99,Found with our in-house single transit finder; Sector 47
188461829,188461829.01,23.054,2458868.402,"new CTOI, Montalto (2022)"
188567506,188567506.01,5.284,2458950.971,"new CTOI, Montalto (2022)"
188619138,188619138.01,nan,2458360.052,WD single transit (nominal period: 2500 years!)
188620407,188620407.01,nan,2458375.5,WINE single transit
188821468,188821468.01,2.433,2458955.733,"new CTOI, Montalto (2022)"
188835620,188835620.01,nan,2459712.395,Found with our in-house single transit finder; Sector 51
190217431,190217431.01,21.736,2458840.388,"new CTOI, Montalto (2022)"
190736332,190736332.01,2.463,2458712.258,"Qual:B,NotCM?,1.0e+08yr. Rp=(1.56-2.44)Rj. b=0.19-0.72 (3-97HDI)."
190989264,190989264.01,nan,2459263.15,Found with our in-house single transit finder
190992110,190992110.01,0.933,2458763.881,"new CTOI, Montalto (2022)"
190995146,190995146.01,0.477,2458764.258,"new CTOI, Montalto (2022)"
191082907,191082907.01,0.636,2458764.755,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
192014454,192014454.01,nan,2459583.087,Found with our in-house single transit finder; Sector 47
192066140,192066140.01,0.401,2458842.215,"new CTOI, Montalto (2022)"
192316486,192316486.01,3.961,2458789.784,"new CTOI, Montalto (2022)"
192561556,192561556.01,3.18,2458542.485,"new CTOI, Montalto (2022)"
192687318,192687318.01,nan,2458797.42,single transit event from the TSTPC working group
192782053,192782053.01,1.873,2458789.7,"new CTOI, Montalto (2022)"
192831602,192831602.01,19.58,2458428.257,"new CTOI, Montalto et al. (2020)"
192833836,192833836.01,6.237,2458442.974,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
193759514,193759514.01,nan,2458726.577,single transit event from the TSTPC working group
193883106,193883106.01,3.301,2458982.102,"new CTOI, Montalto (2022)"
196352977,196352977.01,20.848,2459886.377,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
197039766,197039766.01,3.71,2458841.251,"new CTOI, Montalto (2022)"
197149001,197149001.01,1.32,2458841.763,"new CTOI, Montalto (2022)"
197596346,197596346.01,nan,2458348.487,Found with our in-house single transit finder
197736350,197736350.01,nan,2458342.802,Found with our in-house single transit finder
198147513,198147513.01,3.007,2458896.336,"new CTOI, Montalto (2022)"
198181553,198181553.01,1.411,2458684.255,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
198382901,198382901.01,8.542,2458685.238,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
198384864,198384864.01,157.695,2458846.585,PHT candidate.
198390707,198390707.01,0.141,2459009.186,"seems to be a full planetary transit, but absurdly short period."
198420098,198420098.01,1.789,2458684.828,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
198486574,198486574.01,7.046,2458679.842,"new CTOI, Montalto (2022)"
198589475,198589475.01,4.035,2458679.674,"new CTOI, Montalto (2022)"
198611553,198611553.01,0.497,2458983.526,"new CTOI, Montalto (2022)"
199497770,199497770.01,8.97,2458945.04,Sector 23
199505279,199505279.01,4.037,2458680.871,"new CTOI, Montalto (2022)"
199572211,199572211.01,13.672,2458690.671,From 8 Cycle 2 SPOC sectors; has a close binary companion according to Gaia
199618481,199618481.01,0.458,2458738.393,"new CTOI, Montalto (2022)"
199660056,199660056.01,nan,2458928.911,single transit event from the TSTPC working group
199661915,199661915.01,22.705,2458730.321,newCTOI
199661915,199661915.02,22.707,2458721.896,newCTOI
199662939,199662939.01,2.296,2458740.687,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
200093838,200093838.01,0.989,2458467.677,"new CTOI, Montalto (2022)"
200505458,200505458.01,3.3,2458735.786,"new CTOI, Montalto (2022)"
200511352,200511352.01,3.132,2458737.178,"new CTOI, Montalto (2022)"
200516835,200516835.01,3.778,2458471.483,"Cand HJ, Zari+18 PMS star. Main worry is stellar-mass EB. Rot period similar to orbital period.  (CDIPS; Bouma+19)"
201160783,201160783.01,3.553,2458788.045,"new CTOI, Montalto (2022)"
201175570,201175570.01,9.7,2459064.662,inflated Neptune candidate around evolved star
201311598,201311598.01,8.566,2458316.834,"new CTOI, Montalto (2022)"
201510089,201510089.01,2.654,2458466.806,"new CTOI, Montalto (2022)"
201575721,201575721.01,8.288,2458756.671,"new CTOI, Montalto (2022)"
201735963,201735963.01,1.886,2458763.856,"new CTOI, Montalto (2022)"
201899356,201899356.01,3.109,2458352.717,"new CTOI, Montalto et al. (2020)"
202059363,202059363.01,4.247,2458472.225,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
202276965,202276965.01,3.317,2458844.797,Very small planet candidate around a bright star
202292022,202292022.01,12.982,2458671.225,"new CTOI, Montalto (2022)"
202413558,202413558.01,2.233,2458763.499,"new CTOI, Montalto (2022)"
202712304,202712304.01,nan,2458779.843,Found with our in-house single transit finder; transit finder output attached under 'Files'
202872110,202872110.01,0.942,2458790.522,"new CTOI, Montalto (2022)"
202953253,202953253.01,1.479,2458789.664,"new CTOI, Montalto (2022)"
202955310,202955310.01,0.933,2458789.845,"new CTOI, Montalto (2022)"
206361691,206361691.01,0.0,2458363.25,Planethunters-TESS candidate. Single Transit
206468250,206468250.01,5.564,2458411.436,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
206561817,206561817.01,nan,2459077.601,Found with our in-house single transit finder; transit finder output attached under 'Files'
206588321,206588321.01,nan,2459082.565,Found with our in-house single transit finder; transit finder output attached under 'Files'
206599822,206599822.01,1.076,2458494.661,DTARPS 219 in Melton+  arXiv:2302.06724
206660104,206660104.01,13.451,2458379.784,Planet candidates identified in https://arxiv.org/pdf/1812.08145.pdf
206666063,206666063.01,nan,2459065.002,Found with our in-house single transit finder; transit finder output attached under 'Files'
207078179,207078179.01,nan,2458332.13,WINE single transit
207439389,207439389.01,1.104,2458738.254,"new CTOI, Montalto (2022)"
209006017,209006017.01,nan,2459376.09,PHT candidate. Additional transit in FFIs at ~1649.52 TBJD.
209457622,209457622.01,5.035,2458414.975,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
210441429,210441429.01,2.406,2458597.239,hot Jupiter candidate around subgiant star
211854402,211854402.01,2.349,2458630.321,"Likely EB. PMS (Zari+18), Teff 5000K, Prot 5d, ampltiude 2%."
212359877,212359877.01,nan,2458405.199,single transit event from the TSTPC working group
212378056,212378056.01,nan,2458393.222,Found with our in-house single transit finder
212380077,212380077.01,14.06,2458396.61,"camera 1, ccd 2, column 1516, row 1297, sector 3"
214977922,214977922.01,8.69,2458623.937,"new CTOI, Montalto (2022)"
216986756,216986756.01,14.17,2458692.49,new CTOI
218233985,218233985.01,7.736,2459448.703,"TESS Sector 43, Camera 2, data: 218233985_SAP_LC"
219018744,219018744.01,nan,2459441.395,Found with our in-house single transit finder; Sector 41
219027960,219027960.01,2.276,2458927.908,"new CTOI, Montalto (2022)"
219087443,219087443.01,0.557,2458682.857,"new CTOI, Montalto (2022)"
219176113,219176113.01,77.774,2459174.632,WINE Warm Jupiter
219246401,219246401.01,3.048,2458470.39,DTARPS 222 in Melton+  arXiv:2302.06724
219396153,219396153.01,10.242,2458405.148,"new CTOI, Montalto et al. (2020)"
219434595,219434595.01,2.996,2458685.765,From 5 Cycle 2 SPOC sectors
219466580,219466580.01,28.055,2458660.922,"new CTOI, Montalto (2022)"
219471945,219471945.01,7.581,2458953.189,"new CTOI, Montalto (2022)"
219492050,219492050.01,2.354,2458955.221,"new CTOI, Montalto (2022)"
219641816,219641816.01,nan,2459296.108,PHT candidate. Single transit event.
219703887,219703887.01,10.598,2458676.08,"new CTOI, Montalto (2022)"
219771660,219771660.01,14.5,2459702.412,Found with our in-house single transit finder; Sector 51; v-shaped
219778735,219778735.01,7.457,2458716.197,Potential multi from 10 Y2 SPOC sectors
219778735,219778735.02,14.376,2458718.881,Potential multi from 10 Y2 SPOC sectors
219824470,219824470.01,5.481,2458734.803,"new CTOI, Montalto (2022)"
219882262,219882262.01,1.033,2458711.713,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
219893931,219893931.01,6.41,2458680.089,"new CTOI, Montalto (2022)"
219898294,219898294.01,nan,2459406.91,Found with our in-house single transit finder; Sector 40
219987067,219987067.01,5.893,2458354.118,"new CTOI, Montalto (2022)"
220129325,220129325.01,3.88,2458471.99,"Camera 1, CCD 3, Column 1102, Row 977, Sector 6"
220417892,220417892.01,7.034,2458320.942,"new CTOI, Montalto et al. (2020)"
220460087,220460087.01,3.271,2458355.995,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
220504798,220504798.01,0.558,2458325.325,"new CTOI, Montalto et al. (2020)"
220524097,220524097.01,3.961,2458325.971,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
220568520,220568520.01,18.557,2458337.723,DTARPS 237 in Melton+  arXiv:2302.06724
220570288,220570288.01,4.443,2458356.233,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
222078568,222078568.01,nan,2458646.719,Found with our in-house single transit finder; Sector 12
224279805,224279805.01,nan,2459105.228,Found with our in-house single transit finder; transit finder output attached under 'Files'
224322722,224322722.01,8.242,2458975.438,"new CTOI, Montalto (2022)"
224597929,224597929.01,22.611,2458678.959,"new CTOI, Montalto (2022)"
224634408,224634408.01,5.405,2458681.929,"new CTOI, Montalto (2022)"
228463329,228463329.01,nan,2458371.632,Found with our in-house single transit finder
229043374,229043374.01,3.056,2458325.415,"new CTOI, Montalto et al. (2020)"
229055790,229055790.01,0.0,2458337.87,PHT candidate. Single transit event.
229064630,229064630.01,1.827,2458547.641,DTARPS 239 in Melton+  arXiv:2302.06724
229076808,229076808.01,nan,2458459.428,Found with our in-house single transit finder
229364030,229364030.01,3.623,2458469.685,DTARPS 240 in Melton+  arXiv:2302.06724
229446477,229446477.01,0.658,2458683.92,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229480555,229480555.01,11.878,2458693.209,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229503517,229503517.01,3.974,2458686.386,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229513755,229513755.01,1.515,2458682.364,"new CTOI, Montalto (2022)"
229515782,229515782.01,1.002,2458711.258,"new CTOI, Montalto (2022)"
229573730,229573730.01,1.316,2458957.26,"Qual:B,PMS?,2.1e+07yr,MissingRot?. Rp=(1.23-1.53)Rj. b=0.00-0.49 (3-97HDI)."
229596702,229596702.01,0.81,2458683.354,"new CTOI, Montalto (2022)"
229655420,229655420.01,3.656,2458898.958,"new CTOI, Montalto (2022)"
229675762,229675762.01,0.724,2458684.027,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229708416,229708416.01,10.669,2458679.21,"new CTOI, Montalto (2022)"
229740848,229740848.01,1.543,2458684.09,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229747848,229747848.03,229.727,2458768.711,In the inner HZ if period is correct; only two transits have been detected so far
229747848,229747848.04,nan,2458782.049,"Single transit, possibly orbits in the outer HZ"
229760134,229760134.01,0.824,2458683.828,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229786055,229786055.01,2.14,2458684.026,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
229802011,229802011.01,4.1,2458327.571,DTARPS 241 in Melton+  arXiv:2302.06724
229810162,229810162.01,1.173,2458493.077,DTARPS 242 in Melton+  arXiv:2302.06724
229872148,229872148.01,3.459,2458952.724,"new CTOI, Montalto (2022)"
229950972,229950972.01,nan,2458935.291,single transit event from the TSTPC working group
230007816,230007816.01,2.627,2458684.103,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230013820,230013820.01,0.84,2458683.559,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230016502,230016502.01,2.961,2458685.324,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230112571,230112571.01,0.531,2458683.842,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230198880,230198880.01,13.553,2458738.688,"new CTOI, Montalto (2022)"
230236827,230236827.01,0.708,2459034.825,"V-shaped, 68 transits"
230389303,230389303.01,7.69,2458688.091,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
230980945,230980945.01,1.239,2458354.37,"new CTOI, Montalto (2022)"
