TIC,CTOI,Period (days),Transit Epoch (BJD),Notes
29786532,29786532.01,1.588,2458493.01,"Cand HJ/BD, Collinder135 (40 Myr). Rp is OK (Burrows+2001). CMD good (pre-MS). RA/dec on outskirts. (CDIPS; Bouma+19)."
29821723,29821723.01,2.688,2458323.458,"new CTOI, Montalto (2022)"
29953537,29953537.01,0.731,2458517.872,Corrected transit depth of 160.92 (+/-12.21) ppm; USP candidate; possibly two stars in same pixel
29989691,29989691.01,7.195,2458329.768,Corrected transit depth of 214.7 (+/-7.6) ppm; Marginal PC; within southern Continuous Viewing Zone
30275829,30275829.01,8.11,2459038.072,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
30275861,30275861.01,1.1,2459036.731,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
30654608,30654608.01,2.496,2458519.662,"new CTOI likely member of Muzzio 1     , PATHOS-02 in Nardiello et al. (2020)"
30836645,30836645.01,nan,2458604.604,Found with our in-house single transit finder
30999876,30999876.01,5.709,2458438.369,"new CTOI, Montalto (2022)"
31054247,31054247.01,0.874,2458440.177,DTARPS 036 in Melton+  arXiv:2302.06724
31054255,31054255.01,0.874,2458439.304,"new CTOI, Montalto (2022)"
31142436,31142436.01,5.271,2458435.068,"new CTOI, Montalto et al. (2020)"
32451836,32451836.01,nan,2458392.66,"Camera 2, CCD 3, Column 2023, Row 1622, Sector 3"
32606889,32606889.01,4.687,2458436.237,"new CTOI, Montalto et al. (2020)"
32949757,32949757.01,3.767,2458468.984,DTARPS 039 in Melton+  arXiv:2302.06724
33283274,33283274.01,3.227,2458515.771,"new CTOI, Montalto et al. (2020)"
33945661,33945661.01,3.48,2458357.126,manual ELEANOR search Tom Kaye
33989652,33989652.01,6.194,2458467.933,"new CTOI, Montalto et al. (2020)"
34085383,34085383.01,3.478,2459147.358,ctoi with FPP˜0.10
34196883,34196883.01,1.618,2458468.641,DTARPS 041 in Melton+  arXiv:2302.06724
34371411,34371411.01,3.883,2458468.603,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
34798133,34798133.01,4.62,2459036.51,All data obtained using LightKurve framework
35021200,35021200.01,nan,2459559.86,PHT candidate. Possible additional long-period planet to existing 2 short period K2 planets. Low signal to noise.
35377903,35377903.01,2.993,2459797.576,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
35485915,35485915.01,2.883,2458465.94,"new CTOI, Montalto (2022)"
35703676,35703676.01,1.73,2458382.79,"new CTOI, Montalto et al. (2020)"
35961166,35961166.01,1.401,2458468.975,DTARPS 044 in Melton+  arXiv:2302.06724
36472619,36472619.01,1.66,2458491.919,DTARPS 045 in Melton+  arXiv:2302.06724
36595388,36595388.01,1.738,2458630.874,"10 Myr EB or HJ. PMS K dwarf host (NGC 6193, CG18)."
36887038,36887038.01,nan,2459701.669,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
37167097,37167097.01,1.98,2458470.11,All info obtained using the LightKurve framework
37497171,37497171.01,0.636,2458468.283,"new CTOI, Montalto et al. (2020)"
37652870,37652870.01,nan,2459450.113,Found with our in-house single transit finder; Sector 42
37777274,37777274.01,1.352,2458438.265,"new CTOI, Montalto et al. (2020)"
38129218,38129218.01,2.402,2458437.051,"new CTOI, Montalto et al. (2020)"
38811794,38811794.01,0.894,2458438.287,DTARPS 050 in Melton+  arXiv:2302.06724
38813184,38813184.01,5.352,2458329.755,DTARPS 051 in Melton+  arXiv:2302.06724
38815574,38815574.01,20.429,2458314.218,"new CTOI, Montalto et al. (2020)"
39012975,39012975.01,5.587,2458837.443,"new CTOI, Montalto (2022)"
39174790,39174790.01,5.409,2458894.617,"new CTOI, Montalto (2022)"
39174810,39174810.01,13.177,2459647.314,Nguyen et al. (2022)
39217525,39217525.01,4.21,2458467.64,"new CTOI, Montalto (2022)"
