TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
92866460,92866460.01,,19.16,,10.7126,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
94423678,94423678.01,,1.422,,14.9136,N,N,,,-,-,No report on TEV,,bouma,
94589619,94589619.01,,12.083,,13.8554,N,N,,,-,-,"new CTOI likely member of NGC 2437     , PATHOS-08 in Nardiello et al. (2020)",,nardiello,
95003423,95003423.01,,1.527,,11.49,N,N,,,-,-,"new CTOI likely member of Lupus association  , PATHOS-37 in Nardiello (2020)",,nardiello,
95589845,95589845.01,4794.01,3.566,,12.0465,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
95768667,95768667.01,,0,,9.79566,N,N,,,-,-,No report,PHT candidate. Single transit event.,eisner,
95857505,95857505.01,,,,11.3374,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files',,steuer,
96157127,96157127.01,,0.99,,9.59916,N,N,,,-,-,All data obtained with the LightKurve framework,,chiarello,
97975207,97975207.01,,4.19,,11.9296,N,N,,,-,-,All data are obtained using the Ligh Kurve framework,,chiarello,
98672702,98672702.01,,15.129,,11.5238,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
100665013,100665013.01,,,,11.1595,N,N,,,-,-,Found with our in-house single transit finder; Sector 32,,steuer,
100776118,100776118.01,,,,11.5108,N,N,,,-,-,Single transit event,,gsun,
101179725,101179725.01,,11.739,,11.7159,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,steuer,
101641905,101641905.01,,0,,11.2102,N,N,,,-,-,No report on TEV,PHT candidate. Single transit event.,eisner,
102713734,102713734.01,2580.01,3.398,,10.8064,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
