TIC,CTOI,Period (exfop),Notes
91369561.0,91369561.02,3.993,Primary/secondary
91369561.0,91369561.03,3.992,Primary/secondary
92320552.0,92320552.01,1.623,Preliminary Vetting with DAVE
92350408.0,92350408.01,2.956,"new CTOI, Montalto et al. (2020)"
92594505.0,92594505.01,22.869,Too large
99086567.0,99086567.01,11.85,newCTOI
102169275.0,102169275.01,6.55,"new CTOI, Montalto et al. (2020)"
115115136.0,115115136.01,3.971,nan
115115136.0,115115136.02,4,nan
115410334.0,115410334.01,13.424,Centroid offset + depth-aperture correlation
118084297.0,118084297.01,15.803,newCTOI; Y1 and s36 SPOC shows eccentric EB
118084297.0,118084297.01,15.803,newCTOI
121420805.0,121420805.01,1.72,Primary/secondary
121420805.0,121420805.02,1.72,Primary/secondary
122897814.0,122897814.01,3.2,"new CTOI, Montalto et al. (2020)"
126945917.0,126945917.01,1.348,Primary/secondary
126945917.0,126945917.02,1.342,Primary/secondary
129268651.0,129268651.01,5.965,nan
135050395.0,135050395.01,6.76,"new CTOI, Montalto et al. (2020)"
136886352.0,136886352.01,2.722,"new CTOI, Montalto et al. (2020)"
137205922.0,137205922.01,3.3,33 Re
140659980.0,140659980.01,9.442,nan
140659980.0,140659980.02,9.438,nan
140736015.0,140736015.01,7.314,52 Re
141708335.0,141708335.01,4.762,Centroid offset centered on another star
141770592.0,141770592.01,12.125,"new CTOI, Montalto et al. (2020)"
141809359.0,141809359.02,12.161,nan
141943694.0,141943694.01,1.836,Centroid offset centered on another star
142443425.0,142443425.01,0.308,new CTOI
143924219.0,143924219.01,2.818,Primary/secondary
143924219.0,143924219.02,2.815,Primary/secondary
144000467.0,144000467.01,8.883,Primary/secondary
144000467.0,144000467.02,8.884,Primary/secondary
144284873.0,144284873.01,0.893,"new CTOI, Montalto et al. (2020)"
144462697.0,144462697.01,1.233,Primary/secondary
144462697.0,144462697.02,1.235,Primary/secondary
146129309.0,146129309.01,3.214,Some depth-aperture; PC in individual vetting; recon spectra show it's SB2
147035057.0,147035057.01,nan,Found with our in-house single transit finder
148158540.0,148158540.01,1.849,Eccentric EB
150101472.0,150101472.01,3.278,new CTOI
150442264.0,150442264.02,2.982,nan
152223725.0,152223725.01,4.432,Primary/secondary
152223725.0,152223725.02,4.44,Primary/secondary
153123407.0,153123407.01,0.257,"new CTOI, Montalto et al. (2020)"
160036449.0,160036449.01,1.897,Primary/secondary
160036449.0,160036449.02,1.894,Primary/secondary
161577376.0,161577376.01,8.29,Preliminary Vetting with DAVE.  There are 3 transits with centroids.
162694128.0,162694128.01,1.334,Centroid offset and 4-sigma secondary
165493409.0,165493409.01,9.112,"new CTOI, Montalto et al. (2020)"
165531514.0,165531514.01,3.108,Centroid offset on another star
167554898.0,167554898.01,4.454,new CTOI
167692429.0,167692429.01,10.257,Primary/secondary
167692429.0,167692429.02,10.26,Primary/secondary
167792080.0,167792080.01,3.254,Centroid offset centered on another star
177350401.0,177350401.01,12.075,"new CTOI, Montalto et al. (2020)"
191672086.0,191672086.01,2.683,nan
197760286.0,197760286.01,0.601,new CTOI
198382308.0,198382308.02,2.0806,Signal is secondary; centroid offset
200324182.0,200324182.01,1.297,"new CTOI, Montalto et al. (2020)"
201234926.0,201234926.01,14.094,Too large
201293780.0,201293780.01,0.94,Primary/secondary
201293780.0,201293780.02,0.88,Primary/secondary
204327008.0,204327008.01,0.32,Primary/secondary
204327008.0,204327008.02,0.32,Primary/secondary
204497617.0,204497617.01,1.59,Too large; secondary
206556127.0,206556127.01,1.106,Too large
207080350.0,207080350.01,9.106,Eccentric EB
211380233.0,211380233.01,4.59,nan
214299966.0,214299966.01,3.068,Signal is secondary
219095755.0,219095755.01,8.908,Centroid offset on another star
219151731.0,219151731.01,1.485,"new CTOI, Montalto et al. (2020)"
219207175.0,219207175.01,2.343,"new CTOI, Montalto et al. (2020)"
219308281.0,219308281.01,2.86,Primary/secondary
219308281.0,219308281.02,2.85,Primary/secondary
219322317.0,219322317.01,8.546,early year 1 report; priority 4/5; new CTOI
219421728.0,219421728.01,0.671,"new CTOI, Montalto et al. (2020)"
219777401.0,219777401.01,4.608,Centroid offset on another star
219780464.0,219780464.01,1.001,V-shaped; 4 sigma odd-even
219865181.0,219865181.01,1.118,Centroid offset on another star
220388567.0,220388567.01,1.829,Odd-even
220402290.0,220402290.01,0.783,Primary/secondary
220474209.0,220474209.01,0.981,Primary/secondary
220523550.0,220523550.01,13.524,Primary/secondary
220523550.0,220523550.02,13.495,Primary/secondary
220595524.0,220595524.01,10.741,"new CTOI, Montalto et al. (2020)"
229487733.0,229487733.01,13.338,26 full transits
229597404.0,229597404.01,6.372,Deep secondary away from phase 0.5
229778990.0,229778990.01,7.78,Centroid offset on another star
229808144.0,229808144.01,11.611,Primary/secondary
229808144.0,229808144.02,11.608,Primary/secondary
230023734.0,230023734.01,10.063,"U-shaped, very weak & uncertain secondary."
230050959.0,230050959.01,1.128,1350 ppm secondary
231279823.0,231279823.01,5.976,Centroid offset centered on another star
231714759.0,231714759.01,5.486,Primary/secondary
231714759.0,231714759.02,5.48,Primary/secondary
231840927.0,231840927.01,0.818,"new CTOI, Montalto et al. (2020)"
233051157.0,233051157.01,0.72,Centroid offset on another star
233058265.0,233058265.01,26.277,Deep secondary away from phase 0.5
233208635.0,233208635.01,8.742,Depth-aperture correlation
233714939.0,233714939.01,2.2,Secondary; depth-aperture correlation
233744223.0,233744223.01,44.562,26 Re at 44 d
234503282.0,234503282.01,1.438,nan
235009317.0,235009317.01,7.458,Primary/secondary
235009317.0,235009317.02,7.453,Primary/secondary
236761861.0,236761861.01,0.893,25 Re
237236168.0,237236168.01,2.316,Significant depth-aperture correlation
237332597.0,237332597.01,2.93,Primary/secondary
237332597.0,237332597.02,2.93,Primary/secondary
238082493.0,238082493.01,0.877,"new CTOI, Montalto et al. (2020)"
238235254.0,238235254.01,5.571,"new CTOI likely member of Velorum association, PATHOS-39 in Nardiello (2020)"
238616144.0,238616144.01,2.466,nan
251087387.0,251087387.01,3.025,"new CTOI, Montalto et al. (2020)"
253922296.0,253922296.01,3.141,nan
253928535.0,253928535.01,1.122,Odd-even
256865091.0,256865091.01,5.199,Deep secondary away from phase 0.5
257648522.0,257648522.01,2.695,KELT FP; new CTOI
258918835.0,258918835.01,5.986,Centroid offset on another star
260502102.0,260502102.01,7.315,Primary/secondary
260502102.0,260502102.02,7.31,Primary/secondary
261107974.0,261107974.01,12.768,Centroid offset centered on another star
261335113.0,261335113.01,8.119,Primary/secondary
261335113.0,261335113.02,8.131,Primary/secondary
264051559.0,264051559.01,5.464,new CTOI
265279725.0,265279725.01,2.554,sector 34 only- good fit to model transits
265489698.0,265489698.01,1.156,Primary/secondary
265489698.0,265489698.02,1.153,Primary/secondary
265613590.0,265613590.01,4.82,Primary/secondary
265613590.0,265613590.02,4.815,Primary/secondary
266996791.0,266996791.01,2.126,Primary/secondary
266996791.0,266996791.02,2.123,Primary/secondary
269698422.0,269698422.01,2.39,new CTOI
269829384.0,269829384.01,1.231,Primary/secondary
269829384.0,269829384.02,1.248,Primary/secondary
270677759.0,270677759.01,9.121,Centroid offset centered on another star
272357134.0,272357134.01,4.188,nan
272357134.0,272357134.02,4.196,nan
275570329.0,275570329.01,2.142,EB Kepler-854 b
277649549.0,277649549.01,14.488,Primary/secondary
277649549.0,277649549.02,14.49,Primary/secondary
279314488.0,279314488.01,1.83,Primary/secondary
279314488.0,279314488.02,1.83,Primary/secondary
284206913.0,284206913.01,10.511,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
284990199.0,284990199.01,4.093,new CTOI
290044434.0,290044434.01,1.089,"new CTOI, Montalto et al. (2020)"
293480903.0,293480903.01,7.578,Primary/secondary
293480903.0,293480903.02,7.57,Primary/secondary
293689267.0,293689267.01,14.834,nan
300560295.0,300560295.01,10.289,Too large + secondary
300903537.0,300903537.01,5.824,9000 ppm secondary
300903537.0,300903537.02,5.798,Primary/secondary
303909865.0,303909865.01,2.131,Primary/secondary
303909865.0,303909865.02,2.125,Primary/secondary
306385801.0,306385801.01,7.018,Large; killed in GV; recon spectra show it's SB2
306828113.0,306828113.01,0.425,newCTOI; significant odd even; very v-shaped; short period; EB
308425348.0,308425348.01,3.399,Significant depth-aperture correlation in QLP report; no match on simbad;alerted by mistake
308851582.0,308851582.01,4.919,Primary/secondary
308851582.0,308851582.02,4.912,Primary/secondary
308991822.0,308991822.01,8.226,EB; primary/secondary
309146836.0,309146836.01,5.426,Primary/secondary
309146836.0,309146836.02,5.43,Primary/secondary
318357083.0,318357083.01,3.24,"RUWE binarity score = 0.95.  Found several transits, and it looks like a 'U'."
325205605.0,325205605.01,4.245,Primary/secondary
325205605.0,325205605.02,4.25,Primary/secondary
326356701.0,326356701.01,1.111,Primary/secondary
326356701.0,326356701.02,1.11,Primary/secondary
341983711.0,341983711.01,2.516,Centroid offset centered on another star
344087362.0,344087362.01,14.496,"new CTOI, Montalto et al. (2020)"
349154435.0,349154435.01,4.431,Primary/secondary
349154435.0,349154435.02,4.431,Primary/secondary
349518145.0,349518145.01,4.14,nan
350479101.0,350479101.02,11.923,EB; too large
350480660.0,350480660.01,4.463,Preliminary Vetting with DAVE
352915304.0,352915304.01,3.4929,Centroid offset centered on another star
355601117.0,355601117.01,4.157,nan
355601117.0,355601117.02,4.15,nan
358457398.0,358457398.01,2.268,Primary/secondary
358457398.0,358457398.02,2.266,Primary/secondary
360205899.0,360205899.01,0.429,EB; primary/secondary
372913337.0,372913337.01,1.786,"new CTOI likely member of NGC 2516     , PATHOS-23 in Nardiello et al. (2020)"
374732772.0,374732772.01,18.794,"new CTOI likely member of Lupus association  , PATHOS-42 in Nardiello (2020)"
381854774.0,381854774.01,1.642,Odd-even; v-shaped; large
