TIC,CTOI,Period (exofop),Period (TEV),Notes
168702709.0,168702709.01,nan,nan,Found with our in-house single transit finder; Sector 31
168903062.0,168903062.01,2.674,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
169249234.0,169249234.01,14.373,nan,WINE warm jupiter candidate
172752083.0,172752083.01,13.43,nan,No report
175604949.0,175604949.01,2.649,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
176366125.0,176366125.01,nan,nan,Found with our in-house single transit finder; Sector 32
176780257.0,176780257.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
178162579.0,178162579.01,3.551,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
178242751.0,178242751.01,5.296,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
178472673.0,178472673.01,nan,nan,No TEV report; Found with our in-house single transit finder
180989820.0,180989820.01,nan,nan,"Found with our in-house single transit finder; single transit in Y1 at ~1541 and another at ~1521; actually has period of 9.873 days, no coverage at half phase"
181602717.0,181602717.01,2.456,nan,"No report on TEV; new CTOI likely member of NGC 2671     , PATHOS-17 in Nardiello et al. (2020)"
186072225.0,186072225.01,nan,nan,WINE single transit
186936449.0,186936449.01,2.845,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
188620407.0,188620407.01,nan,nan,WINE single transit
190989264.0,190989264.01,nan,nan,No TEV report; Found with our in-house single transit finder
192415680.0,192415680.01,0,nan,No report
192790476.0,192790476.01,0,nan,No report
192976435.0,192976435.01,4.227,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
199497770.0,199497770.01,8.97,nan,Sector 23
199661915.0,199661915.01,22.705,nan,Likely EB; period matches second canindate in SPOC report on pdo; no report on TEV; new CTOI
200606159.0,200606159.01,11.947,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
201175570.0,201175570.01,9.7,nan,No TEV report; inflated Neptune candidate around evolved star
201177276.0,201177276.01,5.47,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
201660996.0,201660996.01,3.503,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
201899356.0,201899356.01,3.109,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
202059363.0,202059363.01,4.247,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
202712304.0,202712304.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
204698337.0,204698337.01,8.223,nan,WINE hot jupiter candidate
206361691.0,206361691.01,0,nan,No report
206541859.0,206541859.01,30.084,nan,No report on TEV; Warm Jupiter
206561817.0,206561817.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
206588321.0,206588321.01,nan,nan,No report on TEV; Single transit; found with our in-house single transit finder; transit finder output attached under 'Files'
206660104.0,206660104.01,13.451,nan,No report
206666063.0,206666063.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
207078179.0,207078179.01,nan,nan,WINE single transit
207339000.0,207339000.01,4.618,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
209464063.0,209464063.01,119.335,nan,PHT candidate. Second transit close data gap.
210441429.0,210441429.01,2.406,nan,hot Jupiter candidate around subgiant star
211854402.0,211854402.01,2.349,nan,No report on TEV
217933560.0,217933560.01,3.598,nan,No report on TEV
219181903.0,219181903.01,12.926,nan,WINE warm jupiter candidate
219332978.0,219332978.01,nan,nan,WINE single transit
219396153.0,219396153.01,10.242,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
219701535.0,219701535.01,5.47,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
219854519.0,219854519.01,31.03,nan,warm Jupiter candidate in ~31d orbit around late-stage subgiant
220524097.0,220524097.01,3.961,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
222078568.0,222078568.01,nan,nan,Found with our in-house single transit finder; Sector 12
224279805.0,224279805.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
229055790.0,229055790.01,0,nan,No report
229581160.0,229581160.01,3.415,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
230013820.0,230013820.01,0.84,nan,No report
230980206.0,230980206.01,3.376,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
231071138.0,231071138.01,18.842,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
231346067.0,231346067.01,1.292,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
231945429.0,231945429.01,30.462,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
233188747.0,233188747.01,3.451,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
233194447.0,233194447.01,0,nan,No report
233823679.0,233823679.01,2.758,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
234489133.0,234489133.01,3.6,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
234496405.0,234496405.01,22.418,nan,warm Jupiter candidate around evolved star; needs redetrending
235015217.0,235015217.01,4.088,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
235039711.0,235039711.01,nan,nan,WINE single transit
235072851.0,235072851.01,3.119,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
235078021.0,235078021.01,5.219,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
236084210.0,236084210.01,5.347,nan,"No report on TEV; new CTOI likely member of ASCC 85      , PATHOS-18 in Nardiello et al. (2020)"
236770234.0,236770234.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
237098272.0,237098272.01,8.76,nan,All data obtained using the lightkurve framework
237205154.0,237205154.01,5.893,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
237406657.0,237406657.01,3.747,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
237597612.0,237597612.01,nan,nan,Found with our in-house single transit finder
237637903.0,237637903.01,4.105,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
238379370.0,238379370.01,27.177,nan,"No report on TEV; new CTOI likely member of Velorum association, PATHOS-40 in Nardiello (2020)"
238895829.0,238895829.01,2.371,nan,inflated planet candidate around red giant star
239142212.0,239142212.01,nan,nan,Found with our in-house single transit finder; Sector 20
239190192.0,239190192.01,nan,nan,Found with our in-house single transit finder; Sector 20
239190192.0,239190192.02,nan,nan,Found with our in-house single transit finder; Sector 20; Might be secondary transit to .01
239277658.0,239277658.01,3.25,nan,No report on TEV
239638934.0,239638934.01,6.001,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
239816546.0,239816546.01,2.989,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
240101705.0,240101705.01,nan,nan,Found with our in-house single transit finder; Sector 20
243167068.0,243167068.01,nan,nan,WINE single transit
243333538.0,243333538.01,2.999,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
243417115.0,243417115.01,0,nan,No report
248387177.0,248387177.01,nan,nan,No report on TEV; K2 already detected this before at 2457409.23
248655096.0,248655096.01,2.762,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
248655556.0,248655556.01,13.118,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
248687282.0,248687282.01,nan,nan,Found with our in-house single transit finder; Sector 32
250187388.0,250187388.01,nan,nan,Found with our in-house single transit finder; Sector 32; W Shaped
250492521.0,250492521.01,nan,nan,Found with our in-house single transit finder
250492521.0,250492521.02,nan,nan,Found with our in-house single transit finder
250595513.0,250595513.01,nan,nan,Single transit event
250707118.0,250707118.01,11.446,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
252798304.0,252798304.01,9.08,nan,All data obtained using the lightkurve framework
252802348.0,252802348.01,8.32,nan,All data obtained using the lightkurve framework
252803603.0,252803603.01,nan,nan,"No report on TEV; clear, if short and spiked transit"
252803603.0,252803603.02,nan,nan,"No report on TEV; very significant single transit, no others in preceding 25 days."
252908198.0,252908198.01,nan,nan,Found with our in-house single transit finder; Sector 20
253040591.0,253040591.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
253553257.0,253553257.01,nan,nan,Found with our in-house single transit finder; Sector 13
254304169.0,254304169.01,2.382,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
255780160.0,255780160.01,3.877,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
