TIC ID,CTOI,Transit Epoch (BJD),Period (days),Planet Radius (R_Earth),Duration (hours),Depth (mmag),CTOI Category
141768070,141768070.01,2458569.618,2.786,11.751,1.44,12.606,Promoted to TOI
142087638,142087638.01,2458512.17,0.0,5.8,2.55,2.718,Promoted to TOI
142276270,142276270.04,2458697.752,18.805,nan,5.485,nan,Promoted to TOI
142387023,142387023.01,2458879.541,22.812,nan,4.333,nan,Promoted to TOI
142628514,142628514.01,2458493.628,2.626,15.566,3.366,5.298,Promoted to TOI
142784687,142784687.01,2458684.026,3.171,12.733,3.585,6.984,Promoted to TOI
143257768,143257768.01,2458656.457,1.662,17.94,0.131,12.788,Promoted to TOI
144124187,144124187.01,2458535.327,15.718,10.91,0.145,9.84,Promoted to TOI
144297844,144297844.01,2458541.054,3.496,3.44,0.057,1.765,Promoted to TOI
147034452,147034452.01,2458470.893,4.53,3.721,3.106,1.925,Promoted to TOI
147797743,147797743.01,2458843.989,3.692,15.383,2.634,18.275,Promoted to TOI
148478039,148478039.01,2458606.635,10.608,nan,nan,nan,Promoted to TOI
149601126,149601126.01,2459056.066,23.19,8.8,3.6,10.605,Promoted to TOI
149601126,149601126.02,2459123.27,49.23,10.8,6.7,15.627,Promoted to TOI
150030205,150030205.02,2458344.338,39.377,1.84,5.137,0.481,Promoted to TOI
150299840,150299840.01,2459204.577,19.475,18.0,7.487,8.313,Promoted to TOI
151483286,151483286.01,2458494.244,4.04,15.053,3.776,13.016,Promoted to TOI
152245179,152245179.01,2458492.059,3.79,9.682,3.7,1.018,Promoted to TOI
153065527,153065527.02,2458388.699,3.307,1.38,1.081,0.998,Promoted to TOI
153937417,153937417.01,2458843.119,4.16,10.058,2.614,18.373,Promoted to TOI
154304816,154304816.01,2458742.164,3.855,38.0,2.0,75.227,Promoted to TOI
154353849,154353849.01,2458739.457,3.167,8.05,2.946,4.45,Promoted to TOI
154568734,154568734.01,2458722.414,nan,2.954,9.192,0.521,Promoted to TOI
155258153,155258153.01,2458761.608,3.2,7.118,0.047,1.456,Promoted to TOI
155491828,155491828.01,2459233.495,16.05,19.4,4.5,15.308,Promoted to TOI
155873992,155873992.01,2458685.204,4.951,14.417,3.924,9.21,Promoted to TOI
155993822,155993822.01,2458415.689,12.284,16.259,4.697,9.401,Promoted to TOI
156999527,156999527.01,2458471.37,4.393,14.616,2.697,10.861,Promoted to TOI
157230659,157230659.01,2458572.852,7.535,nan,nan,5.333,Promoted to TOI
157698565,157698565.01,2458494.581,nan,nan,nan,9.706,Promoted to TOI
158167408,158167408.01,2458684.85,5.231,nan,1.923,4.062,Promoted to TOI
158241252,158241252.01,2459011.88,1.851,1.49,3.62,0.218,Promoted to TOI
158388163,158388163.01,2458684.69,4.22,nan,3.565,7.281,Promoted to TOI
158551257,158551257.01,2458684.54,0.904,nan,3.568,5.405,Promoted to TOI
159098316,159098316.01,2458685.396,3.577,nan,3.028,3.464,Promoted to TOI
159332859,159332859.01,2458684.774,4.482,18.666,2.352,20.497,Promoted to TOI
160003961,160003961.01,2458382.585,1.449,6.22,0.059,3.22,Promoted to TOI
160004025,160004025.01,2458383.517,2.798,13.647,2.691,14.276,Promoted to TOI
160037058,160037058.01,2458329.504,4.582,16.58,3.418,22.05,Promoted to TOI
160039081,160039081.01,2458752.93,0.0,2.4,4.8,0.543,Promoted to TOI
160432093,160432093.01,2458715.073,3.992,18.378,4.356,9.422,Promoted to TOI
160491359,160491359.01,2458684.16,2.663,1.54,2.606,0.309,Promoted to TOI
161003569,161003569.01,2458740.431,3.512,13.504,3.639,8.551,Promoted to TOI
162631539,162631539.01,2458978.279,nan,2.9,5.5,0.434,Promoted to TOI
164786087,164786087.01,2458684.868,4.076,nan,3.552,11.486,Promoted to TOI
164892194,164892194.01,2458685.037,3.028,nan,2.736,4.581,Promoted to TOI
165464482,165464482.01,2458713.025,4.335,14.865,3.63,9.832,Promoted to TOI
166184426,166184426.01,2458600.44,16.33,nan,1.1,4.352,Promoted to TOI
166834768,166834768.01,2458411.192,3.255,7.52,0.088,3.364,Promoted to TOI
167661160,167661160.01,2458442.07,36.8,4.0,5.1,1.739,Promoted to TOI
167714124,167714124.01,2458439.728,4.163,11.827,3.346,13.756,Promoted to TOI
168281028,168281028.01,2458543.303,4.374,6.33,0.125,3.478,Promoted to TOI
168751223,168751223.01,2458412.921,4.714,7.76,0.112,9.336,Promoted to TOI
169249234,169249234.01,2458550.157,14.373,nan,nan,nan,Promoted to TOI
170434745,170434745.01,2458468.206,1.228,4.19,0.033,1.933,Promoted to TOI
172370679,172370679.01,2458711.98,0.0,nan,4.5,44.322,Promoted to TOI
174302697,174302697.01,2458743.727,0.0,10.0,5.0,2.174,Promoted to TOI
175180796,175180796.01,2458493.443,1.558,3.8,2.714,3.402,Promoted to TOI
175604949,175604949.01,2458492.618,2.649,12.513,2.215,17.449,Promoted to TOI
176780257,176780257.01,2459135.512,nan,5.112,7.464,0.478,Promoted to TOI
176956893,176956893.01,nan,6.907,11.2,8.0,1.63,Promoted to TOI
177079323,177079323.01,2458320.174,5.752,5.82,0.109,0.822,Promoted to TOI
178162579,178162579.01,2458493.862,3.551,11.891,2.393,6.771,Promoted to TOI
178709444,178709444.01,2458576.15,3.472,9.16,0.059,nan,Promoted to TOI
179033846,179033846.01,2458412.992,1.477,6.58,0.052,2.281,Promoted to TOI
179582003,179582003.01,2458518.469,104.611,nan,nan,5.988,Promoted to TOI
180989820,180989820.01,2459261.607,nan,10.03,6.6,3.97,Promoted to TOI
180991313,180991313.01,2458569.471,2.209,12.01,0.1,8.686,Promoted to TOI
182405015,182405015.01,2458494.364,3.112,14.943,2.589,15.295,Promoted to TOI
186936449,186936449.01,2458518.648,2.845,4.507,2.48,1.029,Promoted to TOI
188668950,188668950.01,2459400.62,57.337,4.3,5.8,2.805,Promoted to TOI
189620016,189620016.01,2458517.626,1.18,24.75,0.073,5.273,Promoted to TOI
192415680,192415680.01,2458769.02,0.0,7.0,5.8,3.262,Promoted to TOI
192790476,192790476.01,2458452.33,0.0,3.5,3.6,2.391,Promoted to TOI
192976435,192976435.01,2458546.779,4.227,9.487,4.324,2.501,Promoted to TOI
193754373,193754373.01,2458687.19,3.954,17.27,4.196,6.275,Promoted to TOI
194076601,194076601.01,2459801.216,20.419,14.31,9.2,9.558,Promoted to TOI
199949052,199949052.01,2459825.573,0.587,4.2,1.1,0.874,Promoted to TOI
200606159,200606159.01,2458742.81,11.947,15.752,3.755,16.866,Promoted to TOI
200743403,200743403.01,2458377.316,7.998,9.85,0.15,5.634,Promoted to TOI
201177276,201177276.01,2458324.094,5.47,11.65,0.088,31.781,Promoted to TOI
201660996,201660996.01,2458656.373,3.503,15.653,3.232,15.044,Promoted to TOI
202425357,202425357.01,2458712.269,3.622,15.3,2.311,9.436,Promoted to TOI
204650483,204650483.01,2458575.64,9.96,nan,10.0,1.195,Promoted to TOI
204671232,204671232.01,2458569.069,8.715,12.04,0.171,13.522,Promoted to TOI
204698337,204698337.01,2458576.766,8.223,nan,nan,nan,Promoted to TOI
206541859,206541859.01,2458372.193,30.084,nan,nan,6.862,Promoted to TOI
206906112,206906112.01,2459226.216,nan,9.33,4.13,2.76,Promoted to TOI
207339000,207339000.01,2458684.298,4.618,13.758,2.775,21.98,Promoted to TOI
207425203,207425203.01,2458712.117,1.224,7.91,1.325,1.554,Promoted to TOI
207501148,207501148.01,2459007.727,nan,12.8,4.6,8.502,Promoted to TOI
209464063,209464063.01,2458424.69,119.335,5.0,8.8,2.609,Promoted to TOI
217933560,217933560.01,2458631.451,3.598,15.46,3.133,17.159,Promoted to TOI
219151731,219151731.01,2458437.493,1.485,6.58,0.084,1.033,Promoted to TOI
219181903,219181903.01,2459071.34,12.926,nan,nan,nan,Promoted to TOI
219332978,219332978.01,2458346.6,nan,nan,nan,5.333,Promoted to TOI
219466784,219466784.01,2458872.7,0.0,3.0,9.5,1.086,Promoted to TOI
219508169,219508169.01,2459005.33,6.821,3.54,2.86,1.63,Promoted to TOI
219701535,219701535.01,2458542.233,5.47,12.83,0.103,4.334,Promoted to TOI
219762508,219762508.01,2458685.802,3.235,7.47,1.205,4.498,Promoted to TOI
219766989,219766989.01,2458570.776,0.511,9.0,0.048,3.075,Promoted to TOI
219821826,219821826.01,2458691.732,9.68,14.32,2.183,15.162,Promoted to TOI
